timestamp_s,roll_deg,pitch_deg,yaw_deg
0.133941,3.605491,-78.247897,111.548204
0.144004,2.662852,-76.322351,113.842916
0.154067,3.119640,-77.144268,113.164855
0.164130,6.305747,-78.561000,113.985482
0.174193,7.082085,-78.625265,115.222682
0.184257,9.970095,-77.246380,118.898663
0.194320,12.890636,-77.380203,120.655237
0.204383,13.088060,-77.256707,120.702297
0.214446,13.029143,-76.874906,121.209124
0.224509,15.463053,-77.950128,121.938110
0.234572,14.987064,-78.256790,120.863927
0.244635,13.461460,-78.262329,119.575821
0.254698,12.089729,-77.454434,119.620409
0.264761,12.142184,-77.422305,119.549402
0.274825,11.977747,-77.289772,119.651377
0.284888,12.284375,-77.481960,119.982504
0.294951,11.812036,-77.639696,119.569756
0.305014,12.667515,-78.109866,119.749841
0.315077,12.628606,-77.970544,119.785768
0.325140,11.880983,-77.586161,119.799715
0.335203,11.556164,-77.461210,119.667168
0.345267,12.035391,-77.542782,120.010358
0.355330,12.421630,-77.637640,120.349668
0.365393,12.433547,-77.780111,120.357140
0.375456,12.349992,-78.121675,120.093618
0.385519,12.296657,-78.204901,119.847977
0.395582,12.050032,-78.211738,119.537709
0.405645,11.420598,-77.722389,119.644424
0.415708,10.367555,-77.696926,118.845005
0.425771,10.044770,-77.746595,118.628433
0.435834,9.462379,-78.019605,117.840844
0.445898,9.353103,-78.188153,117.437398
0.455961,8.899790,-78.281146,116.893879
0.466024,8.644097,-78.311513,116.650315
0.476087,8.747574,-78.031141,117.105137
0.486150,8.381180,-77.979757,116.978942
0.496213,8.474290,-77.800103,117.251617
0.506276,8.466977,-77.890986,117.138619
0.516340,8.678067,-77.949814,117.243175
0.526403,8.915361,-78.116464,117.222206
0.536466,9.030128,-78.198351,117.201128
0.546529,9.021308,-78.277547,117.034390
0.556592,8.918896,-78.075667,117.126160
0.566655,8.394307,-78.017822,116.728370
0.576719,8.371275,-77.808771,116.999324
0.586781,8.079888,-77.741384,116.966388
0.596845,8.107236,-77.852545,116.917689
0.616971,8.565993,-78.083112,116.986660
0.627034,8.353913,-78.061938,116.945365
0.637097,8.664851,-77.999647,117.311491
0.647160,8.614355,-77.934118,117.443750
0.657223,8.517400,-77.990419,117.295576
0.667286,8.370886,-77.831720,117.434762
0.677349,8.337609,-77.832048,117.469336
0.687413,8.405730,-77.832724,117.587362
0.697476,8.581326,-77.955408,117.667781
0.707539,8.841783,-78.098801,117.721083
0.717602,8.884813,-78.117290,117.625816
0.727665,8.654895,-78.110426,117.302092
0.737728,8.506562,-78.028190,117.168658
0.747792,8.204226,-77.942683,116.996715
0.757854,8.085588,-77.910028,116.974434
0.767918,7.825236,-77.990139,116.797300
0.777981,7.536852,-78.183666,116.314652
0.788044,7.000523,-78.330699,115.463897
0.798107,6.345724,-78.272506,114.682100
0.808170,5.658411,-78.191726,114.072116
0.818233,5.503040,-78.074465,114.015159
0.828296,5.440033,-78.013383,114.038416
0.838359,5.830073,-78.017563,114.274351
0.848422,6.213321,-77.934869,114.723518
0.858486,6.602066,-77.896176,115.197206
0.868549,6.873413,-77.969314,115.484934
0.878612,6.962615,-78.139119,115.391647
0.888675,6.739949,-78.205051,114.989800
0.898738,6.109496,-78.234325,114.300593
0.908801,5.542688,-78.157431,113.829153
0.918865,4.800384,-78.092490,113.214149
0.928927,4.262619,-78.037172,112.717751
0.938991,3.866730,-77.961418,112.399608
0.949054,3.714104,-77.933797,112.339912
0.959117,3.812904,-77.955182,112.456394
0.969180,4.148782,-78.080113,112.668062
0.979243,4.518240,-78.169985,112.795049
0.989306,4.717466,-78.144024,112.805738
0.999369,4.917145,-78.037254,113.039870
1.009432,4.874497,-77.981445,113.242255
1.019496,5.080033,-78.074957,113.406316
1.029559,5.223883,-78.111471,113.447004
1.039622,5.223666,-78.123301,113.264057
1.049685,5.110707,-77.970578,113.251824
1.059748,5.075240,-77.916879,113.392499
1.069811,5.168641,-78.004756,113.613203
1.079874,5.321022,-78.208658,113.620197
1.089938,5.410656,-78.297361,113.423419
1.100000,5.304052,-78.332434,113.173619
1.110064,5.249762,-78.238710,113.196254
1.120126,5.111792,-78.175818,113.176747
1.130190,5.107442,-78.151188,113.207278
1.140253,5.225506,-78.113465,113.335542
1.150316,5.351908,-78.119018,113.468915
1.160379,5.478759,-78.159275,113.613981
1.170442,5.665289,-78.282287,113.728783
1.180505,5.755503,-78.367070,113.669538
1.190569,5.710773,-78.357371,113.467201
1.200632,5.633074,-78.228930,113.452126
1.210695,5.496088,-78.229018,113.470636
1.220758,5.693548,-78.286843,113.725546
1.230821,5.800048,-78.383750,113.721188
1.240884,5.932900,-78.387110,113.669791
1.250947,6.020043,-78.272807,113.731891
1.261010,6.141778,-78.133710,113.996458
1.271073,6.328333,-78.155601,114.336656
1.281136,6.627530,-78.290128,114.625860
1.291199,6.928669,-78.398038,114.661213
1.301263,7.158252,-78.328350,114.647348
1.311326,7.243649,-78.223424,114.695760
1.321389,7.419946,-78.102141,114.992573
1.331452,7.531159,-78.067293,115.238023
1.341515,7.790995,-78.107448,115.482462
1.351578,8.089043,-78.089594,115.724073
1.361642,8.365191,-78.056645,115.941969
1.371705,8.648663,-78.040744,116.274968
1.381768,8.997920,-78.108937,116.612954
1.391831,9.379123,-78.155847,116.830358
1.401894,9.694386,-78.065852,116.989406
1.411957,9.973789,-77.912023,117.330547
1.422020,10.515384,-77.750625,117.972639
1.432083,11.055043,-77.716030,118.786907
1.442146,11.650039,-77.792173,119.339005
1.452209,11.693889,-77.824596,119.323514
1.462272,11.509877,-77.735851,119.032261
1.472336,11.418748,-77.563922,119.125794
1.482399,11.660948,-77.501596,119.554060
1.492462,11.787577,-77.617635,119.819167
1.502525,11.694612,-77.819234,119.641992
1.512588,11.481648,-77.912904,119.159467
1.522651,11.323214,-77.903574,118.851329
1.532715,11.140170,-77.836030,118.839827
1.542778,11.046076,-77.791879,118.832096
1.552841,11.024888,-77.889435,118.904714
1.562904,10.900133,-77.893233,118.731118
1.572967,10.842211,-77.927787,118.517702
1.583030,10.594122,-77.968399,118.440248
1.593093,10.494584,-78.087490,118.332809
1.603156,10.285471,-78.235248,118.004072
1.613219,9.770621,-78.273681,117.481221
1.623282,8.991942,-78.231744,116.741771
1.633346,8.336177,-78.157595,116.151547
1.643409,7.791884,-78.172253,115.744727
1.653472,7.734551,-78.203077,115.656590
1.663535,7.804541,-78.162171,115.670879
1.673598,8.063043,-78.016080,115.825883
1.683661,8.372545,-77.830395,116.204003
1.693724,8.810670,-77.784086,116.761537
1.703787,9.214702,-77.897775,117.238694
1.713850,9.413586,-78.064732,117.348592
1.723914,9.187932,-78.093931,116.963451
1.733977,8.739863,-78.041687,116.423593
1.744040,7.995742,-77.959964,115.922230
1.754103,7.139204,-77.969574,115.323468
1.764166,6.371790,-78.017597,114.667319
1.774229,5.496961,-78.048066,113.861767
1.784292,4.708387,-78.041468,113.089156
1.794355,4.051024,-78.045491,112.475081
1.804419,3.535017,-78.114141,111.985890
1.814482,3.133905,-78.212804,111.571509
1.824545,2.895177,-78.196766,111.247389
1.834608,2.840776,-78.102858,111.107944
1.844671,2.984582,-77.976144,111.298520
1.854734,3.334741,-78.027104,111.724252
1.864797,3.827452,-78.123232,112.229352
1.874860,4.067713,-78.213043,112.370962
1.884923,4.175404,-78.141203,112.343334
1.894987,4.133247,-77.966678,112.267212
1.905050,4.147448,-77.858406,112.379295
1.915113,4.268543,-77.948967,112.633740
1.925176,4.421628,-78.152855,112.812807
1.935239,4.493554,-78.270990,112.726241
1.945302,4.514334,-78.208343,112.610026
1.955365,4.525677,-78.146503,112.645324
1.965428,4.730262,-78.093828,112.921243
1.975491,4.944334,-78.100918,113.230637
1.985554,5.342283,-78.131531,113.640824
1.995618,5.781155,-78.099395,114.025131
2.005681,6.206283,-78.085161,114.371941
2.015744,6.590987,-78.122898,114.751754
2.025807,6.941948,-78.234742,115.085751
2.035870,7.175741,-78.269180,115.193121
2.045933,7.287882,-78.178550,115.180062
2.055996,7.432062,-78.013908,115.342921
2.066059,7.632597,-77.983528,115.649227
2.076123,8.033261,-77.997776,116.092807
2.086186,8.306828,-78.017761,116.359881
2.096249,8.560574,-77.946023,116.522290
2.106312,8.798190,-77.821973,116.716267
2.116375,9.157203,-77.761588,117.127526
2.126438,9.603600,-77.856794,117.601637
2.136501,10.055846,-78.005903,117.952736
2.146564,10.309335,-78.050634,118.037171
2.156627,10.455657,-77.948345,117.993212
2.166691,10.387458,-77.854963,117.931959
2.176754,10.383589,-77.803081,118.001326
2.186817,10.350111,-77.782146,118.074122
2.196880,10.384914,-77.784243,118.151344
2.206943,10.553203,-77.737914,118.296568
2.217006,10.913459,-77.706529,118.644334
2.227069,11.288677,-77.729008,119.063407
2.237132,11.543684,-77.801428,119.304280
2.247196,11.519743,-77.799891,119.229148
2.257259,11.363113,-77.700007,119.017194
2.267322,11.266274,-77.570329,119.008301
2.277385,11.513807,-77.544715,119.364222
2.287448,11.707743,-77.572678,119.665611
2.297511,11.873208,-77.616303,119.828907
2.307574,11.839267,-77.570977,119.815698
2.317637,11.970022,-77.452064,119.964336
2.327700,12.188378,-77.387321,120.272569
2.337763,12.298910,-77.468716,120.458978
2.347827,12.147319,-77.616712,120.304575
2.357890,11.861024,-77.718469,119.889901
2.367953,11.652301,-77.715101,119.539061
2.378016,11.526980,-77.710703,119.456375
2.388079,11.451200,-77.730182,119.393264
2.398142,11.371017,-77.761267,119.368552
2.408205,11.356278,-77.781921,119.355493
2.418269,11.391428,-77.783034,119.378511
2.428331,11.454602,-77.795486,119.354113
2.438395,11.462365,-77.913976,119.508653
2.448458,11.417725,-78.042759,119.308447
2.458521,11.127012,-78.075886,119.061358
2.468584,10.721162,-78.018683,118.780036
2.478647,10.545561,-77.948243,118.631001
2.488710,10.604155,-78.005343,118.823572
2.498773,11.019920,-78.067969,119.234940
2.508836,11.400276,-78.043019,119.517532
2.518899,11.803965,-77.888691,119.838879
2.528963,12.235706,-77.699733,120.323344
2.539026,12.605884,-77.641629,120.796239
2.549089,12.712074,-77.754580,120.996938
2.559152,12.466719,-77.907487,120.707625
2.569215,11.968605,-77.935641,120.025931
2.579278,11.531012,-77.836064,119.389275
2.589341,11.164008,-77.745824,119.059828
2.599404,10.902275,-77.725797,118.812985
2.609468,10.624168,-77.740680,118.577780
2.619531,10.375794,-77.756048,118.335869
2.629594,10.261681,-77.737334,118.173925
2.639657,10.221273,-77.750912,118.121073
2.649720,10.157785,-77.840831,118.023347
2.659783,9.968787,-77.964123,117.780738
2.669846,9.534250,-77.961289,117.297229
2.679909,8.902867,-77.876519,116.662240
2.689972,8.200587,-77.783116,116.069134
2.700035,7.661524,-77.866492,115.651809
2.710098,7.185867,-77.960155,115.249019
2.720162,6.517493,-78.018847,114.552654
2.730225,5.869574,-77.917794,113.849377
2.740288,5.322545,-77.768664,113.349831
2.750351,5.093228,-77.703647,113.168004
2.760414,5.080097,-77.805485,113.217359
2.770477,5.209232,-77.961302,113.305448
2.780541,5.187925,-77.998991,113.185524
2.790603,5.189233,-77.928961,113.087285
2.800667,4.977419,-77.880228,113.017030
2.810729,4.744773,-77.916127,112.962170
2.820793,4.479351,-77.983528,112.918115
2.830856,4.161572,-78.056146,112.715695
2.840919,3.977230,-78.092906,112.490846
2.850982,3.913879,-78.131183,112.304976
2.861045,4.017571,-78.177000,112.353183
2.871108,4.205798,-78.209532,112.460342
2.881172,4.433714,-78.142910,112.618044
2.891235,4.622705,-78.063414,112.852101
2.901298,5.232159,-78.091814,113.440440
2.911361,5.955145,-78.206089,114.177506
2.921424,6.681624,-78.310960,114.785045
2.931487,7.279459,-78.267834,115.242408
2.941550,7.701072,-78.141913,115.599490
2.951613,8.046680,-78.047110,115.977377
2.961676,8.402755,-78.112249,116.374238
2.971740,8.636273,-78.245349,116.619019
2.981802,8.571764,-78.333281,116.503069
2.991866,8.325755,-78.255745,116.142080
3.001929,7.865818,-78.199519,115.729974
3.011992,7.518910,-78.161659,115.423941
3.022055,7.158808,-78.130732,115.142468
3.032118,6.950345,-78.120166,114.975580
3.042181,7.019938,-78.104764,115.044360
3.052244,7.194376,-78.151544,115.205921
3.062307,7.407883,-78.236538,115.360065
3.072371,7.610438,-78.330781,115.489811
3.082434,7.680058,-78.277677,115.485071
3.092497,7.556471,-78.155034,115.340913
3.102560,7.538791,-78.026975,115.335148
3.112623,7.559139,-78.083078,115.488622
3.122686,7.770098,-78.174698,115.749782
3.132749,7.828577,-78.201896,115.760928
3.142812,7.939746,-78.096082,115.757841
3.152875,8.143777,-77.989463,115.924539
3.162938,8.517933,-78.024605,116.313600
3.173001,8.822610,-78.198221,116.688755
3.183065,8.948448,-78.373798,116.784719
3.193128,8.686417,-78.370663,116.412610
3.203191,8.370474,-78.292211,115.967610
3.213254,7.893254,-78.200407,115.565967
3.223317,7.382055,-78.178550,115.154599
3.233380,6.987723,-78.167485,114.832118
3.243444,6.707685,-78.178400,114.611804
3.253507,6.620857,-78.196616,114.538850
3.263570,6.624040,-78.277007,114.521884
3.273633,6.673044,-78.385751,114.520778
3.283696,6.631203,-78.455576,114.399187
3.293759,6.535908,-78.374153,114.204738
3.303822,6.266580,-78.280873,113.942295
3.313885,6.274166,-78.245384,113.981364
3.323948,6.158604,-78.345446,113.989710
3.334011,6.120816,-78.434279,113.898814
3.344074,5.947546,-78.392369,113.674504
