frame_idx,video_time_s,imu_time_s,roll_deg,pitch_deg,yaw_deg,roll_deg_raw,pitch_deg_raw
0,0.0,5.31,-0.7331076446987362,-78.41916746072206,116.84025845244956,-9.4731804793799,-78.48987093789128
1,0.0334019004497012,5.343401900449701,-0.8569299071318319,-78.44451222254767,117.0644461873909,-9.630757412320913,-78.58683722355619
2,0.0668038008994024,5.376803800899402,-0.9807273486476652,-78.4704410159179,115.43959620883328,-8.263266775538403,-78.39583525448447
3,0.1002057013491036,5.410205701349104,-1.1041740877454194,-78.49693710452806,115.34615684825644,-8.224350205740537,-78.69066659092782
4,0.1336076017988049,5.443607601798805,-1.226935262231742,-78.5239830720917,115.3752074246802,-8.614197766985798,-78.52948209414814
5,0.1670095022485061,5.477009502248506,-1.3486680267482387,-78.5515609052909,115.8717996211688,-9.247714094558994,-78.6711197173038
6,0.2004114026982073,5.510411402698207,-1.4690225493979543,-78.57965207358147,116.50159265871127,-10.185623351301947,-78.53547281476676
7,0.2338133031479085,5.543813303147908,-1.587642994787773,-78.60823760556815,117.18993437775389,-10.984349474748145,-78.60116147700127
8,0.2672152035976098,5.57721520359761,-1.7041684866623643,-78.63729816163149,116.79472458124252,-10.598775663645366,-78.65882115447133
9,0.300617104047311,5.610617104047311,-1.8182340511795123,-78.66681410262231,116.61470920773864,-10.500377351590188,-78.69218087155575
10,0.3340190044970123,5.644019004497012,-1.9294715466224543,-78.69676555489491,116.46781373336788,-10.325385736064062,-78.69218340933023
11,0.3674209049467135,5.677420904946713,-2.037510586642993,-78.7271324725153,116.18482379220372,-9.833882394911775,-78.89302000267331
12,0.4008228053964147,5.710822805396415,-2.141979464138248,-78.75789469771752,113.95641198424468,-7.659189884467832,-78.83490986551833
13,0.4342247058461159,5.744224705846116,-2.242506082687282,-78.78903202024216,112.88193919139084,-6.450468323915361,-78.94801091450157
14,0.4676266062958171,5.777626606295817,-2.338718902274109,-78.8205242353386,113.32811627060237,-6.924473383952315,-79.00921258718229
15,0.5010285067455184,5.811028506745518,-2.430247905800748,-78.85235119979762,113.05939190664552,-6.89774481833156,-78.9670384814317
16,0.5344304071952196,5.844430407195219,-2.5167255926479126,-78.8844928858139,113.2712817502712,-6.949909138598886,-78.80850304971531
17,0.5678323076449209,5.877832307644921,-2.597788005271714,-78.91692943318635,112.94868304303198,-6.774743730525728,-78.9681374489055
18,0.601234208094622,5.911234208094622,-2.673075794532548,-78.94964120067068,112.82126001931816,-6.538226187699545,-78.73544932148276
19,0.6346361085443233,5.944636108544323,-2.742235329137144,-78.98260881716747,112.59362990197964,-6.202180105736751,-78.85355893000978
20,0.6680380089940245,5.978038008994024,-2.8049198542369784,-79.01581323321511,112.73555611359971,-6.261313059426728,-78.85303065767641
21,0.7014399094437257,6.011439909443725,-2.8607907038660545,-79.04923577323915,112.1590756020424,-5.557709836508203,-78.90120668127473
22,0.734841809893427,6.044841809893427,-2.9095185713975376,-79.08285818916504,111.32206945534152,-4.580970900183047,-79.06192630821455
23,0.7682437103431282,6.078243710343128,-2.950784841090156,-79.11666271597082,110.5637076394478,-3.837945310520573,-79.06631358130096
24,0.8016456107928294,6.111645610792829,-2.984282981052532,-79.150632129294,109.61223634301334,-2.7841452785186327,-79.2862061387727
25,0.8350475112425306,6.14504751124253,-3.009719991821653,-79.18474980425948,108.45794160439564,-1.639032851128451,-79.44726532418183
26,0.8684494116922319,6.178449411692231,-3.0268178951610114,-79.21899977339389,107.78938431399146,-1.0084461078024505,-79.48752746289057
27,0.901851312141933,6.211851312141933,-3.035315239835688,-79.2533667806709,107.57357258691115,-0.64365469369482,-79.42841290467591
28,0.9352532125916344,6.245253212591634,-3.0349686005163923,-79.28783632904583,107.15569683301798,0.0222929463963987,-79.34941458004903
29,0.9686551130413356,6.278655113041335,-3.0255540498259004,-79.32239471970803,107.90949128665426,-0.6866578950392809,-79.2710519330807
30,1.0020570134910367,6.312057013491036,-3.006868585243528,-79.35702908218359,109.0792865054164,-1.805961522928708,-79.45546946765
31,1.035458913940738,6.345458913940737,-2.9787314916994228,-79.3917273954956,110.25451684391554,-3.3368150211561347,-79.45754009825788
32,1.0688608143904392,6.378860814390439,-2.940985622133263,-79.42647850156288,110.64403427340385,-3.902411016924176,-79.5229036792445
33,1.1022627148401405,6.41226271484014,-2.893498584049233,-79.4612721123852,109.74635805689157,-3.3202496536888995,-79.44431256059852
34,1.1356646152898418,6.445664615289841,-2.836163826269805,-79.49609881228919,108.0747555608427,-1.9303186459852333,-79.59724258447329
35,1.1690665157395428,6.479066515739542,-2.768901622864186,-79.53095005588902,106.76928333738022,-0.9547030331806357,-79.5759960599178
36,1.202468416189244,6.512468416189243,-2.6916599512822565,-79.56581816182843,105.72895067096444,-0.0884530156911623,-79.7006371893256
37,1.2358703166389453,6.545870316638945,-2.6044152611113938,-79.60069630209239,104.9783811124856,0.6336786743172624,-79.67029905510128
38,1.2692722170886466,6.579272217088646,-2.507173129255165,-79.63557848670621,105.633697450265,-0.2728028456802236,-79.65314349270272
39,1.3026741175383478,6.612674117538347,-2.399968796711295,-79.67045954391277,105.78276339489636,-0.7394591204127249,-79.76446695801712
40,1.336076017988049,6.646076017988049,-2.2828675821650872,-79.70533509637164,104.1305204497891,0.6533694779696403,-79.86437101769899
41,1.36947791843775,6.679477918437749,-2.155965170363793,-79.74020153428569,103.03205013113975,1.5076644617857555,-79.72319913645394
42,1.4028798188874514,6.712879818887451,-2.01938777905392,-79.77505598638004,103.10280549071967,1.3941907253660708,-79.68225644920497
43,1.4362817193371529,6.746281719337152,-1.873292212675693,-79.80989628942768,102.44246526110018,2.0480723214739505,-79.7628425831232
44,1.469683619786854,6.779683619786853,-1.7178658105286084,-79.84472095664732,102.30527863004605,2.123389171917565,-79.88447700741028
45,1.5030855202365552,6.813085520236555,-1.5533262945865085,-79.87952914476702,102.72231889347368,1.6820831424380418,-80.14681357970919
46,1.5364874206862564,6.846487420686256,-1.3799215219489016,-79.91432061904376,102.53035542625484,2.133973151372042,-80.04760601321495
47,1.5698893211359577,6.879889321135957,-1.1979291508063887,-79.94909571509005,102.597469857188,2.4048675872159864,-79.92652113277659
48,1.6032912215856587,6.913291221585658,-1.007656234189951,-79.98385529562778,105.48775038430225,-0.2042186888417305,-80.30231701967672
49,1.63669312203536,6.946693122035359,-0.8094387560096025,-80.01860069969763,106.7777447016423,-1.264735733263418,-80.63787381552191
50,1.6700950224850613,6.980095022485061,-0.6036411173345726,-80.05333368252246,105.98298868977396,0.1712584239062785,-80.52701210620714
51,1.7034969229347623,7.013496922934762,-0.3906555747667448,-80.08805634599342,108.62971359914346,-2.031174505765365,-80.6258623014615
52,1.7368988233844638,7.046898823384463,-0.1709016319797625,-80.12277106124898,113.5259517014271,-6.753873234523473,-80.6177286949262
53,1.7703007238341648,7.080300723834164,0.055174613560493,-80.15748038541851,114.36819275715986,-7.223111081693416,-80.43167943003162
54,1.803702624283866,7.1137026242838655,0.2871011682984191,-80.19218697469769,114.42256060821404,-7.256910210081767,-80.64547797860678
55,1.837104524733568,7.147104524733567,0.5243808877596283,-80.22689349592298,115.10158085366456,-7.894219067026907,-80.4635030991769
56,1.8705064251832688,7.180506425183268,0.7664922750445071,-80.26160253881167,114.52731022403049,-7.298302141694229,-80.82437665815866
57,1.9039083256329696,7.2139083256329695,1.0128903394885438,-80.29631653103431,114.51004723988665,-7.351005014700999,-80.85666954935233
58,1.9373102260826711,7.2473102260826705,1.263007521526038,-80.33103765828162,114.54746110105842,-7.249760169949536,-81.02214997161013
59,1.9707121265323724,7.2807121265323715,1.5162546893461326,-80.36576779139985,114.10830398117358,-6.688053722040541,-81.20937971703569
60,2.0041140269820734,7.3141140269820735,1.772022214741984,-80.40050842221567,114.89847237514428,-7.167844176973204,-81.35529974762512
61,2.037515927431775,7.3475159274317745,2.029681137530285,-80.43526060851967,115.53787217745077,-7.375361830947933,-81.27827019152306
62,2.070917827881476,7.3809178278814755,2.2885844274469225,-80.47002492699542,115.4776691745603,-7.064295959779917,-81.2076868895987
63,2.104319728331177,7.414319728331177,2.5480683501239345,-80.5048014316249,116.45207128571478,-7.734659184219797,-81.09870873760718
64,2.1377216287808785,7.447721628780878,2.8074539408996566,-80.53958961526266,117.59860609561636,-8.875254144826519,-81.11305055536279
65,2.1711235292305795,7.4811235292305795,3.066048586806842,-80.57438837340861,117.79047348628907,-8.953215104119192,-81.24417360460485
66,2.204525429680281,7.514525429680281,3.323147713608133,-80.60919597034761,116.82963093370832,-8.425539138721833,-81.34600502382801
67,2.237927330129982,7.547927330129982,3.578036573510552,-80.64401000787534,116.69176451432756,-8.444093505030242,-81.28796254794938
68,2.2713292305796835,7.5813292305796836,3.829992131282958,-80.67882739629962,114.42662711389676,-6.733295258127733,-81.28306195841054
69,2.3047311310293845,7.614731131029384,4.078285049569059,-80.71364432734673,110.8967455614766,-3.667534359994536,-81.06268580510108
70,2.3381330314790856,7.648133031479086,4.322181776767032,-80.74845624928524,106.38750673331276,0.1258971009448171,-81.2377912582211
71,2.371534931928787,7.681534931928787,4.56094674256193,-80.7832578453559,102.37892343885332,3.3399160332082585,-81.09822175161356
72,2.404936832378488,7.714936832378488,4.793844660685854,-80.8180430168582,97.6324183008909,7.251620796497521,-81.00425084043526
73,2.4383387328281896,7.74833873282819,5.020142917174312,-80.85280487194657,94.5162728645062,9.720023186046886,-80.67130701713735
74,2.4717406332778906,7.78174063327789,5.239113993288291,-80.88753572060362,91.7981329792105,11.749415915798878,-80.60550973679487
75,2.505142533727592,7.815142533727592,5.45003786055015,-80.92222707572633,88.56295233744692,14.289556806392785,-80.44707898308464
76,2.538544434177293,7.848544434177293,5.65220430099452,-80.95686965999077,86.98531447169134,15.63744201384836,-80.15122065599031
77,2.571946334626994,7.881946334626994,5.844915131306239,-80.99145341813188,86.0080494676044,16.088987181727717,-80.06352392852554
78,2.605348235076696,7.915348235076696,6.027486327988775,-81.02596753408243,84.68756431612924,16.661855822133724,-80.07434191361743
79,2.6387501355263967,7.948750135526396,6.199250059756754,-81.06040045172786,81.7866184356071,18.915064933846192,-79.98101071706023
80,2.672152035976098,7.982152035976098,6.359556636045211,-81.09473989751801,79.01848972403721,21.05918884422182,-80.01943848489829
81,2.705553936425799,8.0155539364258,6.507776380650896,-81.12897290361808,78.23789563366363,21.380578177990987,-80.05083779129875
82,2.7389558368755003,8.0489558368755,6.643301439730369,-81.16308583126862,77.97072744652459,21.3017098747242,-79.94248017820486
83,2.7723577373252017,8.082357737325202,6.765547533624157,-81.19706439481476,77.68518615647194,21.35210898479577,-79.81363947767294
84,2.805759637774903,8.115759637774902,6.873955661655324,-81.2308936871706,77.28496613564795,21.334534295600285,-79.8793687009217
85,2.8391615382246043,8.149161538224604,6.967993768334735,-81.2645582072462,75.48936995650833,22.591006108344807,-80.13994219717677
86,2.8725634386743053,8.182563438674304,7.047158378577612,-81.29804188950372,74.94201983186588,22.8975998088206,-80.13778968224433
87,2.9059653391240063,8.215965339124006,7.110976208582963,-81.33132813591052,76.31211250729555,21.541799319765545,-80.2197660555439
88,2.939367239573708,8.249367239573708,7.159005757080156,-81.36439985098292,77.37486886263147,20.402161305403563,-80.48299533052369
89,2.972769140023409,8.282769140023408,7.19083887670856,-81.39723948086395,78.72876050997228,19.07241480876228,-80.74064681123207
90,3.0061710404731103,8.31617104047311,7.206102317492529,-81.42982905739956,79.68557442405287,18.212744996745545,-80.82998646078528
91,3.0395729409228114,8.349572940922812,7.204459229045195,-81.4621502482756,81.24694032920081,16.82072311037361,-80.73098483206667
92,3.072974841372513,8.382974841372512,7.185610609936633,-81.49418441452192,82.7548293759802,15.227901541025757,-81.17130818844963
93,3.106376741822214,8.416376741822214,7.149296698476542,-81.52591267665193,83.76336249718409,14.10344150457567,-81.42574430834313
94,3.139778642271915,8.449778642271914,7.095298302995589,-81.55731598991359,83.01067272250522,14.978724325547873,-81.4957319716266
95,3.1731805427216164,8.483180542721616,7.023438070236726,-81.58837522774894,85.25751244729064,13.01405818877999,-81.61531285919177
96,3.206582443171317,8.516582443171316,6.933581689579498,-81.61907127121881,87.79239838488971,10.66470936447327,-81.68311007924751
97,3.239984343621019,8.549984343621018,6.825639029718394,-81.64938510132608,88.10334693460712,10.281959713092984,-81.82850493944154
98,3.27338624407072,8.58338624407072,6.699565203303402,-81.67929789119674,89.37256134880055,8.970578823006772,-81.85580647557028
99,3.306788144520421,8.61678814452042,6.555361553929614,-81.70879109589725,90.27062824228211,8.164012053958636,-81.78340863663946
100,3.3401900449701225,8.650190044970122,6.393076558735895,-81.73784653859987,91.39797177593718,7.116726270309215,-81.68666240762813
