time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1788093356124941000,0.133941162109375,-0.6299552917480469,-0.5077424645423889,0.3749135434627533,0.45254144072532654,0.06292769312858582,-1.3656834363937378,1.9468834400177002
1788093356135004000,0.14400390625,-0.6508250832557678,-0.5076212286949158,0.3524467647075653,0.44105401635169983,0.04647552967071533,-1.3320763111114502,1.986933708190918
1788093356145067300,0.1540673828125,-0.6429828405380249,-0.5085085034370422,0.3610203266143799,0.4445857107639313,0.05444798618555069,-1.346421480178833,1.9750993251800537
1788093356155130400,0.16413037109375,-0.6291729211807251,-0.506938099861145,0.3800676465034485,0.4502263367176056,0.11005605012178421,-1.3711481094360352,1.9894219636917114
1788093356165193500,0.174193359375,-0.6311311721801758,-0.5083736181259155,0.37907254695892334,0.44669201970100403,0.12360569834709167,-1.3722697496414185,2.0110151767730713
1788093356175256600,0.184256591796875,-0.6426971554756165,-0.5010038614273071,0.374543160200119,0.4423266649246216,0.1740109771490097,-1.3482036590576172,2.0751731395721436
1788093356185319700,0.194319580078125,-0.6391624212265015,-0.4963296949863434,0.38362714648246765,0.4449251890182495,0.2249840348958969,-1.3505393266677856,2.1058311462402344
1788093356195382800,0.2043828125,-0.639312207698822,-0.49495580792427063,0.3841773569583893,0.4457649290561676,0.22842973470687866,-1.348383903503418,2.1066524982452393
1788093356205446000,0.21444580078125,-0.6434158682823181,-0.49450597167015076,0.3805887699127197,0.44343218207359314,0.22740143537521362,-1.3417202234268188,2.1154983043670654
1788093356215509000,0.224509033203125,-0.632500171661377,-0.4942014515399933,0.3939056992530823,0.44782450795173645,0.2698811888694763,-1.360486388206482,2.1282215118408203
1788093356225572000,0.234572021484375,-0.6283368468284607,-0.4942685067653656,0.39673325419425964,0.4511032700538635,0.2615736126899719,-1.365838646888733,2.109473466873169
1788093356235635200,0.24463525390625,-0.6284981369972229,-0.49586746096611023,0.39394712448120117,0.45156529545783997,0.23494680225849152,-1.3659353256225586,2.086991786956787
1788093356245698300,0.2546982421875,-0.6374405026435852,-0.49643877148628235,0.38386106491088867,0.44706693291664124,0.2110055685043335,-1.3518348932266235,2.0877699851989746
1788093356255761400,0.264761474609375,-0.6371496915817261,-0.4957987070083618,0.38436681032180786,0.44775673747062683,0.2119210809469223,-1.3512741327285767,2.0865306854248047
1788093356265824800,0.27482470703125,-0.6387670040130615,-0.4959675073623657,0.3826240003108978,0.4467570185661316,0.20905111730098724,-1.3489609956741333,2.088310480117798
1788093356275887900,0.284887939453125,-0.6380601525306702,-0.4970620572566986,0.3834543824195862,0.44583770632743835,0.21440279483795166,-1.3523153066635132,2.0940897464752197
