time,seconds_elapsed,z,y,x
1788093356128454700,0.13745458984375,-57.993751525878906,-60.63750076293945,-46.40625
1788093356138454800,0.147454833984375,-57.525001525878906,-60.22500228881836,-48.67500305175781
1788093356148454700,0.15745458984375,-57.525001525878906,-60.22500228881836,-48.67500305175781
1788093356158454800,0.167454833984375,-56.56875228881836,-59.906253814697266,-46.40625
1788093356168454700,0.17745458984375,-59.55000305175781,-60.78750228881836,-46.556251525878906
1788093356178454800,0.187454833984375,-59.73750305175781,-61.66875076293945,-48.093753814697266
1788093356188454700,0.19745458984375,-59.08125305175781,-60.35625076293945,-48.056251525878906
1788093356198454800,0.207454833984375,-58.14375305175781,-60.20625305175781,-47.90625
1788093356208454700,0.21745458984375,-59.26875305175781,-61.80000305175781,-46.59375
1788093356218454800,0.227454833984375,-58.76250076293945,-59.92500305175781,-48.48750305175781
1788093356228454700,0.23745458984375,-58.20000076293945,-62.83125305175781,-48.01875305175781
1788093356238454800,0.247454833984375,-56.94375228881836,-61.66875076293945,-47.83125305175781
1788093356248454700,0.25745458984375,-58.95000076293945,-61.53750228881836,-49.76250076293945
1788093356258454800,0.267454833984375,-58.181251525878906,-61.51875305175781,-47.66250228881836
1788093356268454700,0.27745458984375,-56.92500305175781,-61.650001525878906,-46.16250228881836
1788093356278454800,0.287454833984375,-57.375003814697266,-60.937503814697266,-47.04375076293945
1788093356288454700,0.29745458984375,-58.181251525878906,-62.08125305175781,-45.5625
1788093356298454800,0.307454833984375,-58.14375305175781,-60.76875305175781,-45.97500228881836
1788093356308454700,0.31745458984375,-56.45625305175781,-61.218753814697266,-47.36250305175781
1788093356318454800,0.327454833984375,-58.781253814697266,-60.937503814697266,-47.47500228881836
1788093356328454700,0.33745458984375,-58.98750305175781,-63.11250305175781,-46.650001525878906
1788093356338454800,0.347454833984375,-58.20000076293945,-62.812503814697266,-45.60000228881836
1788093356348454700,0.35745458984375,-56.775001525878906,-61.500003814697266,-46.91250228881836
1788093356358454800,0.367454833984375,-55.218753814697266,-61.368751525878906,-47.08125305175781
1788093356368454700,0.37745458984375,-58.01250076293945,-61.35000228881836,-46.14375305175781
1788093356378454800,0.387454833984375,-57.86250305175781,-61.500003814697266,-46.29375076293945
1788093356388454700,0.39745458984375,-58.20000076293945,-62.531253814697266,-47.70000076293945
1788093356398454800,0.407454833984375,-59.062503814697266,-59.906253814697266,-46.06875228881836
1788093356408454700,0.41745458984375,-57.13125228881836,-63.13125228881836,-49.38750076293945
1788093356418454800,0.427454833984375,-57.88125228881836,-61.81875228881836,-48.281253814697266
1788093356428454700,0.43745458984375,-58.16250228881836,-60.78750228881836,-47.32500076293945
1788093356438454800,0.447454833984375,-57.843753814697266,-60.78750228881836,-47.625
1788093356448454700,0.45745458984375,-55.53750228881836,-60.95625305175781,-49.931251525878906
1788093356458454800,0.467454833984375,-56.45625305175781,-61.500003814697266,-46.91250228881836
1788093356468454700,0.47745458984375,-56.493751525878906,-62.531253814697266,-48.01875305175781
1788093356478454800,0.487454833984375,-58.76250076293945,-59.92500305175781,-49.10625076293945
1788093356488454700,0.49745458984375,-58.125003814697266,-59.493751525878906,-49.23750305175781
1788093356498454800,0.507454833984375,-58.931251525878906,-60.78750228881836,-46.556251525878906
1788093356508454700,0.51745458984375,-57.67500305175781,-60.35625076293945,-48.525001525878906
1788093356518454800,0.527454833984375,-57.11250305175781,-62.55000305175781,-48.76875305175781
1788093356528454700,0.53745458984375,-57.712501525878906,-61.368751525878906,-47.51250076293945
1788093356538454800,0.547454833984375,-58.16250228881836,-61.218753814697266,-47.34375
1788093356548454700,0.55745458984375,-58.33125305175781,-61.66875076293945,-47.8125
1788093356558454800,0.567454833984375,-57.67500305175781,-60.337501525878906,-46.40625
