frame,timestamp_s,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_alt_m,speed_2d_mps,speed_3d_mps
0,0.0,0.0660276890308839,0.2066027689030884,-0.0532481363152289,17.4570121,78.37595185,580.235,5.98250000000001,6.0775
1,0.03333333333333144,-0.0332268370606192,0.3623003194883711,0.2066027689026706,17.457013041666666,78.3759503,580.2429166666667,5.957083333333327,6.069166666666676
2,0.06666666666666288,0.1003904863328245,-0.1246716364919805,-0.1934682286120227,17.457014008333335,78.37594870000001,580.2385833333334,5.98541666666666,6.025833333333343
3,0.09999999999999432,0.0434504792331105,0.0626198083053763,0.1412140575076094,17.457014975,78.3759471,580.23425,6.013749999999994,5.98250000000001
4,0.13333333333332575,-0.1939652112183083,0.3398651047226351,0.3236066737667523,17.45701595,78.37594550833334,580.2325833333333,6.033916666666668,5.957499999999993
5,0.1666666666666572,0.1093361732339609,-0.8449414270506126,0.1881434149798461,17.45701695,78.37594394166668,580.2389166666667,6.029583333333335,5.987499999999994
6,0.19999999999998863,0.0566560170391445,-0.3209797657071008,-0.4038338658150427,17.457017949999997,78.37594237500001,580.2452499999999,6.0252500000000015,6.017499999999994
7,0.23333333333332007,-0.0100106496272593,-0.1948881789134292,0.2115725949594911,17.457018933333334,78.3759408,580.2510833333333,6.019250000000002,6.038333333333335
8,0.2666666666666515,0.0504082357119377,-0.3394391196310877,0.3772097976572527,17.457019866666666,78.3759392,580.2554166666666,6.008250000000002,6.031666666666668
9,0.30000000000001137,-0.0521831735889243,0.56975505857295,-0.3216187433439829,17.4570208,78.3759376,580.25975,5.997249999999993,6.024999999999995
10,0.3333333333333428,-0.0709975150869719,0.1600993965211217,0.11395101171459,17.457021733333335,78.375936,580.2640833333334,5.993833333333344,6.017499999999994
11,0.36666666666667425,-0.046432374866974,0.1392261270869588,-0.2167554135603812,17.457022666666667,78.3759344,580.2684166666667,6.013166666666672,6.007499999999997
12,0.4000000000000057,0.0796592119275267,-0.7478168264108226,0.2048988285409368,17.4570236,78.3759328,580.27275,6.0325,5.9975000000000005
13,0.4333333333333371,-0.0351437699684324,-0.659140930067312,-0.049911253106324,17.457024533333335,78.3759312,580.27775,6.043750000000003,5.994999999999996
14,0.46666666666666856,0.0134185303506968,-0.0355697550579336,-0.0661696840617649,17.457025466666668,78.3759296,580.28475,6.030750000000003,6.014999999999996
15,0.5,0.2411075612362187,-0.5233226837099109,-0.4860489882847223,17.4570264,78.375928,580.29175,6.017750000000003,6.034999999999996
16,0.5333333333333314,-0.0146254881083182,0.4683706070309623,-0.1537806176785773,17.457027316666668,78.37592639166667,580.2938333333334,6.009,6.0466666666666695
17,0.5666666666666629,0.1493787717431076,0.7157969471079457,0.4360667376644166,17.457028183333335,78.37592475833333,580.2811666666666,6.012999999999999,6.033333333333336
18,0.5999999999999943,0.3107561235352633,1.148029818956488,0.3963791267302811,17.45702905,78.375923125,580.2685,6.016999999999999,6.020000000000002
19,0.6333333333333258,0.0411785587498686,0.871920482782421,-0.0159744408946776,17.457029925,78.37592149999999,580.25975,6.016750000000003,6.010833333333332
20,0.6666666666666572,-0.0234291799787007,-0.1309904153354633,0.2374866879659211,17.457030825,78.3759199,580.26275,6.003750000000003,6.014166666666665
21,0.6999999999999886,0.0063897763578274,-0.1597444089456869,-0.4195953141640042,17.457031725,78.3759183,580.26575,5.990750000000003,6.017499999999999
22,0.7333333333333201,0.1758608448699258,-1.1755768548092775,-0.0607738729131791,17.457032633333334,78.37591668333333,580.2694166666666,5.990749999999991,6.016666666666669
23,0.7666666666666515,0.086332978345167,-0.8089456868994184,0.1587504437346049,17.457033566666667,78.37591501666667,580.2750833333333,6.029749999999992,6.0033333333333365
24,0.8000000000000114,0.1069222577207157,-0.581895633654447,-0.4820021299259587,17.4570345,78.37591334999999,580.28075,6.0687500000000245,5.989999999999991
25,0.8333333333333428,0.2257011004608276,-0.9724529641461144,-0.0193113241036248,17.457035416666667,78.37591169999999,580.2871666666666,6.090583333333316,5.990000000000023
26,0.8666666666666742,0.1646432374869639,-0.3882854100132866,-0.4558040468588684,17.457036283333334,78.3759101,580.2958333333333,6.0609166666666585,6.030000000000012
27,0.9000000000000057,0.0826411075618745,-0.1384451544231911,-0.0027689030882502,17.457037149999998,78.3759085,580.3045,6.03125,6.07
28,0.9333333333333371,0.1554135605250102,0.1914802981879046,-0.440184593538873,17.457038025,78.37590689166666,580.3105833333334,6.009416666666667,6.092500000000007
