frame,timestamp_s,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_alt_m,speed_2d_mps,speed_3d_mps
0,0.019233333332977054,-0.4456017039350581,-0.8929144479800329,-0.5895704650300445,17.4487291,78.3599739,602.69,8.886,9.01
1,0.05259999999998399,-0.3271565495187908,-0.8834504792242074,0.4247923322712995,17.4487291,78.3599739,602.69,8.886,9.01
2,0.08596666666653618,-0.3955129570489415,0.2422719204818326,-0.5935108271368787,17.4487291,78.3599739,602.69,8.886,9.01
3,0.11933333333308838,-0.5147319843805144,-0.3823216187646528,-0.933972310968632,17.4487291,78.3599739,602.69,8.886,9.01
4,0.15270000000009532,-0.3588498402599613,0.1831309903941352,-0.3036208732724574,17.4487291,78.3599739,602.69,8.886,9.01
5,0.18606666666619276,-0.4775576854798923,-0.2041746539166129,-0.8283564075183444,17.4487291,78.3599739,602.69,8.886,9.01
6,0.2194333333331997,-0.3665885694000593,-1.4558537451219953,0.2314093006722563,17.4487291,78.3599739,602.69,8.886,9.01
7,0.25280000000020664,-0.2638125665589925,-1.416698615564356,0.8015335463388653,17.4487291,78.3599739,602.69,8.886,9.01
8,0.28616666666675883,-0.2850905218318714,0.9181398650975796,-0.4193468228489505,17.4487291,78.3599739,602.69,8.886,9.01
9,0.319533333333311,-0.4239687610932661,1.4441462548810315,-1.1860986865452052,17.4487291,78.3599739,602.69,8.886,9.01
10,0.3528999999998632,-0.4896272630461304,0.261277955269514,-1.2682428114995867,17.4487291,78.3599739,602.69,8.886,9.01
11,0.38626666666687015,-0.4230173943926517,-0.3102449414169806,-0.4777280795273456,17.4487291,78.3599739,602.69,8.886,9.01
12,0.41963333333342234,-0.6184380546679645,0.1822648207526838,-0.558643947466459,17.4487291,78.3599739,602.69,8.886,9.01
13,0.45299999999997453,-0.7529286474973376,-5.7507987220447285,0.6198083067092651,17.4487291,78.3599739,602.69,8.886,9.01
14,0.4863666666665267,-0.4171175008874515,-3.020489882829936,1.261050763213367,17.4487291,78.3599739,602.69,8.886,9.01
15,0.5197333333330789,-0.4061199857945202,-0.8183457579271487,0.7587504437804703,17.4487291,78.3599739,602.69,8.886,9.01
16,0.5531000000000859,-0.5442172523952421,-0.2885835995676746,-0.2972949946686659,17.4487291,78.3599739,602.69,8.886,9.01
17,0.5864666666661833,-0.7636208732692302,-4.33258075967126,-0.100447284345536,17.4487291,78.3599739,602.69,8.886,9.01
18,0.6198333333331902,-0.2953851615136063,0.7315938942483712,0.0638977635552225,17.4487291,78.3599739,602.69,8.886,9.01
19,0.6532000000001972,-0.5717145899851351,2.0192119275605367,-1.8819169328364131,17.4487291,78.3599739,602.69,8.886,9.01
20,0.6865666666667494,-0.6323748668793105,0.5621228257053138,-2.246290379838333,17.4487291,78.3599739,602.69,8.886,9.01
21,0.7199333333333016,-0.3412282570125388,-0.0626198083464597,-0.2698473553598579,17.4487291,78.3599739,602.69,8.886,9.01
22,0.7532999999998538,-0.3224920127922449,1.5465814696851048,-0.5108839190818014,17.4487291,78.3599739,602.69,8.886,9.01
23,0.7866666666668607,-0.6013489527745776,1.8012069577861816,-1.8441604543977856,17.4487291,78.3599739,602.69,8.886,9.01
24,0.8200333333334129,-0.3535818246349392,2.859254526078073,-0.7500035498777794,17.4487291,78.3599739,602.69,8.886,9.01
25,0.8533999999999651,-0.7079446219324672,2.5495633653178515,-1.704834930780747,17.4487291,78.3599739,602.69,8.886,9.01
26,0.8867666666665173,-0.517905573299726,-0.8042314519483046,-0.4855236066048631,17.4487291,78.3599739,602.69,8.886,9.01
27,0.9201333333330695,-0.2567696130713895,0.9291870783898596,0.0339084131652913,17.4487291,78.3599739,602.69,8.886,9.01
28,0.9535000000000764,-0.4727369542054211,1.4308839190519071,-0.291480298175364,17.4487291,78.3599739,602.69,8.886,9.01
29,0.9868666666661738,-0.4118565850202474,0.1617607383767708,-0.36894568690054,17.4487291,78.3599739,602.69,8.886,9.01
30,1.0202333333331808,-0.1460915867904871,2.64453674127545,-0.296009939650689,17.4487291,78.3599739,602.69,8.886,9.01
31,1.0536000000001877,-0.5022790202155091,3.45358892437779,-1.5942066027167083,17.4487291,78.3599739,602.69,8.886,9.01
32,1.08696666666674,-0.7325807596706012,-0.2498473553810167,-1.4489243876164917,17.4487291,78.3599739,602.69,8.886,9.01
33,1.120333333333292,-0.1700390486334269,0.7422080227158019,0.605608803696068,17.4487291,78.3599739,602.69,8.886,9.01
34,1.1536999999998443,-0.490031948881022,0.83525026624258,-1.102257720977387,17.4487291,78.3599739,602.69,8.886,9.01
35,1.1870666666668512,-0.3317997870090354,-0.0814483493072473,-0.114817181410199,17.4487291,78.3599739,602.69,8.886,9.01
36,1.2204333333334034,-0.2950159744397748,-0.8824281150021431,-0.2550159744414873,17.4487291,78.3599739,602.69,8.886,9.01
37,1.2537999999999556,-0.2040468583589113,-0.1484132055302435,0.102577209794852,17.4487291,78.3599739,602.69,8.886,9.01
38,1.2871666666665078,-0.3148739794094937,0.2247781327587797,-0.2037628682944438,17.4487291,78.3599739,602.69,8.886,9.01
39,1.32053333333306,-0.3706780262692872,0.6524529641293733,-0.4848136315121726,17.4487291,78.3599739,602.69,8.886,9.01
40,1.353900000000067,-0.321277955265847,0.2156336528010904,-0.1960383386290664,17.4487291,78.3599739,602.69,8.886,9.01
41,1.3872666666666191,-0.4944408945676672,-0.0958892438548572,-0.8435782747722737,17.4487291,78.3599739,602.69,8.886,9.01
42,1.4206333333331713,-0.1073624423146197,-1.5445154419575844,0.9229179978693248,17.4487291,78.3599739,602.69,8.886,9.01
43,1.4540000000001783,-0.2536741214053052,-0.1286474973634155,0.325452609174196,17.4487291,78.3599739,602.69,8.886,9.01
44,1.4873666666667305,-0.2661057863005351,-0.5690947817137673,-0.0364075257267946,17.4487291,78.3599739,602.69,8.886,9.01
45,1.5207333333332826,-0.1840255591024867,-0.6277742278693398,0.6137309194125693,17.4487291,78.3599739,602.69,8.886,9.01
46,1.5540999999998348,-0.2249414270489723,-1.1590415335478252,0.7246858359868835,17.4487291,78.3599739,602.69,8.886,9.01
47,1.5874666666668418,-0.2509762158362555,-0.957074902379636,0.6177919772761473,17.4487291,78.3599739,602.69,8.886,9.01
48,1.620833333333394,-0.1977280795194769,-0.4353922612402161,1.1242456513897383,17.4487291,78.3599739,602.69,8.886,9.01
49,1.6541999999999462,-0.405580404680749,-0.5482428115434013,-0.0385516506756049,17.4487291,78.3599739,602.69,8.886,9.01
50,1.6875666666664983,-0.2531345402892094,-0.52231451902315,0.7344266950883813,17.4487291,78.3599739,602.69,8.886,9.01
51,1.7209333333330505,-0.2925097621545792,-0.999687610875717,0.3059850904930688,17.4487291,78.3599739,602.69,8.886,9.01
52,1.7543000000000575,-0.3104366347179785,-0.3680298189590252,-0.1425559105392488,17.4487291,78.3599739,602.69,8.886,9.01
53,1.7876666666666097,-0.2871849485262527,0.6542421015278672,-0.1390131345414598,17.4487291,78.3599739,602.69,8.886,9.01
54,1.8210333333331619,-0.2241746538899227,0.6442243521289865,-0.1509052183190442,17.4487291,78.3599739,602.69,8.886,9.01
55,1.8544000000001688,-0.2530777422759285,0.0132481362981509,-0.4910330138353875,17.4487291,78.3599739,602.69,8.886,9.01
56,1.887766666666721,-0.0814057507988847,1.3652325168627144,0.1207028754004728,17.4487291,78.3599739,602.69,8.886,9.01
57,1.9211333333332732,-0.1088107916219367,-0.1075896343640835,0.2120837770713902,17.4487291,78.3599739,602.69,8.886,9.01
58,1.9544999999998254,-0.218317358890889,-0.9805111820854192,0.1846645367378045,17.4487291,78.3599739,602.69,8.886,9.01
59,1.9878666666668323,-0.060958466447816,-1.2587291445689983,1.0029818956734031,17.4487291,78.3599739,602.69,8.886,9.01
60,2.0212333333333845,-0.1032658856921539,-0.4157472488591892,0.8479872204659509,17.4487291,78.3599739,602.69,8.886,9.01
61,2.0545999999999367,-0.322002129925189,-0.3077742279039606,-0.0512460063895593,17.4487291,78.3599739,602.69,8.886,9.01
62,2.087966666666489,-0.1879659211897556,-0.7649698260891566,0.5391196308443487,17.4487291,78.3599739,602.69,8.886,9.01
63,2.121333333333041,-0.1533546325859222,0.2760383386686463,0.4908768193047248,17.4487291,78.3599739,602.69,8.886,9.01
64,2.154700000000048,-0.218125665598802,-0.1538658146626397,-0.1978913738125751,17.4487291,78.3599739,602.69,8.886,9.01
65,2.1880666666666,-0.1304224352153873,0.296329428464595,-0.2199503017376569,17.4487291,78.3599739,602.69,8.886,9.01
66,2.2214333333331524,-0.1425204117860575,0.2798651047230575,-0.1398367057167928,17.4487291,78.3599739,602.69,8.886,9.01
67,2.2548000000001593,-0.1642598509057296,0.6784238551595367,-0.4346325878593899,17.4487291,78.3599739,602.69,8.886,9.01
68,2.2881666666667115,-0.0022009229686776,-1.1170749023828592,0.2985445509425251,17.4487291,78.3599739,602.69,8.886,9.01
69,2.3215333333332637,-0.0637841675530688,-0.7071210507510554,0.6439048633267279,17.4487291,78.3599739,602.69,8.886,9.01
70,2.3549000000002707,-0.0914376996876708,0.1106496272821074,0.3607880724426638,17.4487291,78.3599739,602.69,8.886,9.01
71,2.388266666666823,-0.2998509052191231,-1.5307632232872987,0.0983741569042706,17.4487291,78.3599739,602.69,8.886,9.01
