=> creating output\cityscapes\pidnet_small_cityscapes
=> creating log\cityscapes\pidnet_small\pidnet_small_cityscapes_2026-08-31-01-00
[*] Loading ImageNet-pretrained backbone from 'models/PIDNet/pretrained_models/imagenet/PIDNet_S_ImageNet.pth.tar'
C:\Users\anura\Desktop\research_2wadas\aurora-2w\models\PIDNet\models\aurora2w.py:270: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_state = torch.load(cfg.MODEL.PRETRAINED, map_location='cpu')['state_dict']
Attention!!!
Loaded 302 parameters!
Over!!!
[*] Starting AuRoRA-2W Synthetic Roll Training Loop with AMP...
[*] Set to train for 20 epochs.

--- Epoch 1/20 ---
[Iter 870/1487] LR: 0.009989 | Loss: 1.7198
[Iter 880/1487] LR: 0.009989 | Loss: 4.4604
[Iter 890/1487] LR: 0.009989 | Loss: 3.1487
[Iter 900/1487] LR: 0.009989 | Loss: 4.1442
[Iter 910/1487] LR: 0.009989 | Loss: 4.9714
[Iter 920/1487] LR: 0.009988 | Loss: 2.4708
[Iter 930/1487] LR: 0.009988 | Loss: 4.1496
[Iter 940/1487] LR: 0.009988 | Loss: 3.4291
[Iter 950/1487] LR: 0.009988 | Loss: 4.8916
[Iter 960/1487] LR: 0.009988 | Loss: 3.3034
[Iter 970/1487] LR: 0.009988 | Loss: 3.2362
[Iter 980/1487] LR: 0.009988 | Loss: 2.3689
[Iter 990/1487] LR: 0.009988 | Loss: 3.8135
[Iter 1000/1487] LR: 0.009987 | Loss: 2.5373
[Iter 1010/1487] LR: 0.009987 | Loss: 4.1071
[Iter 1020/1487] LR: 0.009987 | Loss: 1.8511
[Iter 1030/1487] LR: 0.009987 | Loss: 3.0620
[Iter 1040/1487] LR: 0.009987 | Loss: 2.2905
[Iter 1050/1487] LR: 0.009987 | Loss: 3.8895
[Iter 1060/1487] LR: 0.009987 | Loss: 4.9633
[Iter 1070/1487] LR: 0.009987 | Loss: 2.9778
[Iter 1080/1487] LR: 0.009986 | Loss: 4.0966
[Iter 1090/1487] LR: 0.009986 | Loss: 4.2019
[Iter 1100/1487] LR: 0.009986 | Loss: 1.7778
[Iter 1110/1487] LR: 0.009986 | Loss: 2.7925
[Iter 1120/1487] LR: 0.009986 | Loss: 5.3514
[Iter 1130/1487] LR: 0.009986 | Loss: 4.3832
[Iter 1140/1487] LR: 0.009986 | Loss: 4.8934
[Iter 1150/1487] LR: 0.009986 | Loss: 3.3329
[Iter 1160/1487] LR: 0.009985 | Loss: 4.2743
[Iter 1170/1487] LR: 0.009985 | Loss: 3.3593
[Iter 1180/1487] LR: 0.009985 | Loss: 3.5475
[Iter 1190/1487] LR: 0.009985 | Loss: 4.2724
[Iter 1200/1487] LR: 0.009985 | Loss: 2.9566
[Iter 1210/1487] LR: 0.009985 | Loss: 3.2713
