frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
50,1.701333333333423,0.203,-0.102,0.683,-3.997,1.909,8.901,32.04,17.43900788,78.37652468,0.429,0.688
51,1.7346999999999753,0.35,0.129,-0.215,7.066,2.059,8.915,32.09,17.43900978,78.37652672,0.429,0.688
52,1.7680666666667548,0.214,0.393,-0.537,8.292,-1.048,8.929,32.15,17.43901168,78.37652875,0.429,0.688
53,1.801433333333307,0.083,0.245,-0.15,-4.204,-1.273,8.941,32.19,17.43901358,78.37653078,0.429,0.688
54,1.8348000000000864,0.108,0.328,-0.119,2.795,0.443,8.898,32.03,17.43901548,78.37653272,0.429,0.688
55,1.8681666666666388,0.054,0.424,-0.231,3.285,-0.437,8.854,31.88,17.43901739,78.37653465,0.429,0.688
56,1.9015333333334183,-0.026,0.304,-0.08,-3.3,-0.869,8.813,31.73,17.43901929,78.37653659,0.429,0.688
57,1.9348999999999703,0.2,0.238,0.776,-1.732,2.432,8.806,31.7,17.43902122,78.37653856,0.429,0.688
58,1.96826666666675,0.153,0.394,-0.316,5.064,-0.234,8.799,31.68,17.43902316,78.37654053,0.429,0.688
59,2.0016333333333023,0.075,0.282,0.165,-3.063,-0.827,8.794,31.66,17.43902509,78.3765425,0.429,0.688
60,2.035000000000082,0.09,0.307,0.228,1.034,0.187,8.828,31.78,17.43902703,78.37654447,0.429,0.688
61,2.068366666666634,0.055,0.308,-0.049,0.362,-0.296,8.862,31.9,17.43902897,78.37654643,0.429,0.688
62,2.1017333333334136,0.008,0.286,-0.063,-0.372,-0.47,8.893,32.01,17.4390309,78.3765484,0.429,0.688
63,2.135099999999966,-0.012,0.254,0.008,-0.717,-0.227,8.854,31.87,17.4390328,78.37655034,0.429,0.688
64,2.1684666666667454,-0.078,0.258,-0.233,0.405,-0.714,8.814,31.73,17.4390347,78.37655227,0.429,0.688
