frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0,-0.543,0.37,3.783,11.837,-3.051,5.983,21.54,17.4570121,78.37595185,0.821,0.973
1,0.0333333333333314,1.386,0.998,-1.904,20.758,11.837,5.957,21.45,17.45701304,78.3759503,0.717,0.948
2,0.0666666666666628,-0.165,0.716,5.752,-7.143,-11.085,5.985,21.55,17.45701401,78.3759487,0.648,0.926
3,0.0999999999999943,0.819,0.79,2.49,3.588,8.091,6.014,21.65,17.45701498,78.3759471,0.599,0.906
4,0.1333333333333257,2.158,1.364,-11.113,19.473,18.541,6.034,21.72,17.45701595,78.37594551,0.562,0.888
5,0.1666666666666572,2.974,-0.238,6.265,-48.412,10.78,6.03,21.71,17.45701695,78.37594394,0.535,0.871
6,0.1999999999999886,0.843,-0.809,3.246,-18.391,-23.138,6.025,21.69,17.45701795,78.37594238,0.513,0.856
7,0.23333333333332,1.633,-1.126,-0.574,-11.166,12.122,6.019,21.67,17.45701893,78.3759408,0.496,0.842
8,0.2666666666666515,3.046,-1.693,2.888,-19.448,21.613,6.008,21.63,17.45701987,78.3759392,0.483,0.829
9,0.3000000000000113,1.38,-0.577,-2.99,32.645,-18.427,5.997,21.59,17.4570208,78.3759376,0.472,0.817
10,0.3333333333333428,1.539,-0.26,-4.068,9.173,6.529,5.994,21.58,17.45702173,78.375936,0.464,0.806
11,0.3666666666666742,0.509,0.006,-2.66,7.977,-12.419,6.013,21.65,17.45702267,78.3759344,0.457,0.796
12,0.4000000000000057,1.323,-1.363,4.564,-42.847,11.74,6.032,21.72,17.4570236,78.3759328,0.451,0.787
13,0.4333333333333371,0.955,-2.516,-2.014,-37.766,-2.86,6.044,21.76,17.45702453,78.3759312,0.447,0.779
14,0.4666666666666685,0.655,-2.481,0.769,-2.038,-3.791,6.031,21.71,17.45702547,78.3759296,0.443,0.771
15,0.5,-0.604,-3.345,13.814,-29.984,-27.849,6.018,21.66,17.4570264,78.375928,0.44,0.763
16,0.5333333333333314,-1.096,-2.356,-0.838,26.836,-8.811,6.009,21.63,17.45702732,78.37592639,0.438,0.757
17,0.5666666666666629,0.679,-0.95,8.559,41.012,24.985,6.013,21.65,17.45702818,78.37592476,0.436,0.751
18,0.5999999999999943,2.439,1.197,17.805,65.777,22.711,6.017,21.66,17.45702905,78.37592312,0.435,0.745
19,0.6333333333333258,2.229,2.759,2.359,49.957,-0.915,6.017,21.66,17.45702992,78.3759215,0.433,0.74
