frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0019666666667035,0.027,0.275,3.537
1,0.0353333333332557,0.029,0.178,3.619
2,0.0687000000002626,0.009,0.319,3.702
3,0.1020666666668148,-0.018,0.315,3.781
4,0.135433333333367,-0.027,0.283,3.768
5,0.1687999999999192,-0.047,0.183,3.755
6,0.2021666666669261,-0.052,0.15,3.744
7,0.2355333333330236,-0.057,-0.03,3.765
8,0.2689000000000305,-0.085,-0.15,3.787
9,0.3022666666665827,-0.089,-0.02,3.809
10,0.3356333333335897,-0.09,-0.079,3.838
11,0.3690000000001419,-0.074,-0.01,3.868
12,0.4023666666666941,-0.075,-0.011,3.898
13,0.4357333333327915,-0.057,0.024,3.943
14,0.4691000000002532,-0.067,-0.097,3.988
15,0.5024666666668054,-0.052,0.137,4.029
16,0.5358333333333576,-0.046,0.17,3.981
17,0.5691999999999098,0.004,0.361,3.933
18,0.6025666666669167,0.025,0.308,3.888
19,0.6359333333330142,0.026,0.281,3.904
20,0.6693000000000211,0.003,0.107,3.92
21,0.7026666666665733,-0.038,0.069,3.935
22,0.7360333333335802,-0.077,-0.009,3.928
23,0.7694000000001324,-0.062,0.085,3.921
24,0.8027666666666846,-0.022,0.057,3.912
25,0.8361333333327821,-0.004,0.019,3.872
26,0.869499999999789,-0.008,-0.011,3.832
27,0.902866666666796,-0.005,-0.059,3.794
28,0.936233333333348,0.003,-0.004,3.802
29,0.9695999999999004,-0.01,-0.025,3.809
30,1.0029666666669073,-0.025,0.058,3.822
31,1.0363333333330047,-0.056,-0.071,3.928
32,1.0697000000000116,-0.076,-0.047,4.034
33,1.1030666666665638,-0.107,-0.161,4.14
34,1.1364333333335708,-0.11,-0.059,4.238
35,1.169800000000123,-0.081,-0.008,4.336
36,1.2031666666666752,-0.094,-0.152,4.433
37,1.2365333333332271,-0.107,-0.379,4.516
38,1.2698999999997795,-0.086,-0.261,4.599
39,1.3032666666667865,-0.067,-0.307,4.677
40,1.336633333333339,-0.035,-0.213,4.695
41,1.3699999999998909,-0.009,-0.098,4.713
42,1.4033666666668978,-0.045,-0.33,4.732
43,1.4367333333329952,-0.085,-0.333,4.767
44,1.4701000000000022,-0.122,-0.351,4.803
45,1.5034666666665544,-0.138,-0.218,4.841
46,1.536833333333561,-0.132,-0.1,4.905
47,1.5702000000001135,-0.141,-0.081,4.969
48,1.6035666666666657,-0.172,-0.061,5.031
49,1.636933333333218,-0.177,-0.078,5.072
50,1.6703000000002248,-0.148,-0.071,5.113
51,1.703666666666777,-0.091,0.016,5.153
52,1.7370333333333292,-0.022,-0.011,5.182
53,1.7703999999998814,0.04,0.035,5.21
54,1.8037666666668883,0.071,-0.039,5.237
55,1.8371333333329856,0.115,-0.031,5.245
56,1.8704999999999927,0.162,-0.029,5.254
57,1.903866666666545,0.219,0.009,5.264
58,1.937233333333552,0.278,0.014,5.29
59,1.970600000000104,0.323,0.026,5.316
