frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0025666666666666,0.415,0.096,8.886
1,0.0359333333333324,0.356,-0.019,8.886
2,0.0692999999999983,0.211,-0.103,8.886
3,0.1026666666666642,0.196,-0.132,8.886
4,0.1360333333333301,0.247,-0.134,8.886
5,0.169399999999996,0.149,-0.17,8.886
6,0.2027666666666618,-0.037,-0.255,8.886
7,0.2361333333333277,-0.062,-0.185,8.886
8,0.2694999999999936,-0.037,-0.134,8.886
9,0.3028666666666595,-0.138,-0.143,8.886
10,0.3362333333333254,-0.456,-0.318,8.886
11,0.3695999999999912,-0.469,-0.075,8.886
12,0.4029666666666571,-0.334,0.101,8.886
13,0.436333333333323,-0.309,-0.023,8.886
14,0.4696999999999889,-0.226,-0.03,8.886
15,0.5030666666666548,-0.427,-0.013,8.886
16,0.5364333333333207,-0.515,0.003,8.886
17,0.5697999999999865,-0.151,0.279,8.886
18,0.6031666666666524,-0.241,-0.064,8.886
19,0.6365333333333183,-0.221,0.081,8.886
20,0.6698999999999842,0.029,0.222,8.886
21,0.70326666666665,-0.105,-0.033,8.886
22,0.7366333333333159,-0.076,0.006,8.886
23,0.7699999999999818,-0.034,0.046,8.886
24,0.8033666666666477,-0.27,-0.24,8.886
25,0.8367333333333136,0.016,-0.069,8.886
26,0.8700999999999794,0.231,0.042,8.886
27,0.9034666666666452,-0.066,-0.175,8.886
28,0.9368333333333112,0.087,0.212,8.886
29,0.9701999999999772,0.186,-0.253,8.886
30,1.003566666666643,0.071,-0.106,8.886
31,1.0369333333333088,0.587,0.101,8.886
32,1.0702999999999747,0.398,-0.183,8.886
33,1.1036666666666406,0.26,0.145,8.886
34,1.1370333333333065,0.084,-0.224,8.886
35,1.1703999999999724,0.058,-0.083,8.886
36,1.2037666666666382,-0.119,-0.003,8.886
37,1.237133333333304,0.077,-0.051,8.886
38,1.27049999999997,-0.057,-0.133,8.886
39,1.303866666666636,-0.119,-0.096,8.886
40,1.3372333333333015,-0.097,0.029,8.886
41,1.3705999999999676,-0.051,0.032,8.886
42,1.4039666666666335,-0.347,-0.012,8.886
43,1.4373333333332994,-0.138,0.243,8.886
44,1.4706999999999653,0.241,0.222,8.886
45,1.5040666666666311,0.298,0.108,8.886
46,1.537433333333297,0.106,-0.258,8.886
47,1.570799999999963,0.118,-0.072,8.886
48,1.6041666666666288,-0.123,-0.465,8.886
49,1.6375333333332946,0.083,-0.169,8.886
50,1.6708999999999603,0.117,-0.363,8.886
51,1.7042666666666264,0.078,-0.35,8.886
52,1.7376333333332925,0.213,-0.268,8.886
53,1.7709999999999582,0.249,-0.197,8.886
54,1.804366666666624,0.312,-0.19,8.886
55,1.837733333333404,0.355,-0.171,8.886
56,1.8711000000000693,0.43,-0.03,8.886
57,1.9044666666667356,0.445,0.098,8.886
58,1.9378333333334008,0.478,0.17,8.886
59,1.9712000000000671,0.564,0.204,8.886
60,2.004566666666733,0.608,0.21,8.886
61,2.037933333333399,0.62,0.12,8.886
62,2.0713000000000648,0.613,0.121,8.886
63,2.10466666666673,0.502,0.068,8.886
64,2.1380333333333965,0.396,-0.045,8.886
65,2.1714000000000624,0.304,0.006,8.886
66,2.2047666666667283,0.217,0.029,8.886
67,2.238133333333394,0.145,0.026,8.886
68,2.27150000000006,0.042,0.017,8.886
69,2.304866666666726,-0.047,0.084,8.886
70,2.338233333333392,-0.062,0.165,8.886
71,2.3716000000000577,-0.101,0.129,8.886
72,2.4049666666667235,-0.102,0.159,8.886
73,2.4383333333333894,-0.12,0.175,8.886
74,2.4717000000000557,-0.181,0.073,8.886
75,2.505066666666721,-0.265,0.098,8.886
76,2.538433333333387,-0.249,0.093,8.886
77,2.571800000000053,-0.242,0.058,8.886
78,2.605166666666719,-0.252,0.08,8.886
79,2.6385333333333847,-0.26,0.039,8.886
80,2.6719000000000506,-0.251,0.007,8.886
81,2.7052666666667164,-0.214,0.044,8.886
82,2.7386333333333823,-0.213,0.053,8.886
83,2.772000000000048,-0.281,-0.049,8.886
84,2.805366666666714,-0.255,0.008,8.886
85,2.83873333333338,-0.203,-0.017,8.886
86,2.872100000000046,-0.148,-0.053,8.886
87,2.905466666666712,-0.12,-0.124,8.886
88,2.9388333333333776,-0.12,-0.165,8.886
89,2.9722000000000435,-0.036,-0.11,8.886
90,3.0055666666667094,0.063,-0.073,8.886
91,3.0389333333333752,0.013,-0.145,8.886
92,3.072300000000041,0.07,-0.11,8.886
93,3.105666666666707,0.251,-0.004,8.886
94,3.139033333333373,0.286,-0.036,8.886
95,3.1724000000000387,0.26,-0.042,8.886
96,3.2057666666667046,0.302,0.078,8.886
97,3.2391333333333705,0.3,-0.059,8.886
98,3.2725000000000364,0.234,-0.041,8.886
99,3.3058666666667023,0.193,-0.034,8.886
100,3.339233333333368,0.146,0.016,8.886
101,3.372600000000034,0.091,0.063,8.886
102,3.4059666666667,-0.018,-0.03,8.886
103,3.4393333333333658,-0.127,0.012,8.886
104,3.472700000000032,-0.168,0.067,8.886
105,3.506066666666697,-0.185,0.047,8.886
106,3.5394333333333634,-0.25,-0.038,8.886
107,3.5728000000000293,-0.297,0.003,8.886
108,3.606166666666695,-0.44,-0.075,8.886
109,3.639533333333361,-0.482,-0.03,8.886
110,3.672900000000027,-0.506,-0.043,8.886
111,3.706266666666693,-0.565,-0.074,8.886
112,3.739633333333359,-0.582,-0.058,8.886
113,3.773000000000025,-0.613,-0.059,8.886
114,3.8063666666666895,-0.632,-0.098,8.886
115,3.839733333333356,-0.653,-0.107,8.886
116,3.873100000000022,-0.675,-0.097,8.886
117,3.906466666666688,-0.704,-0.116,8.886
118,3.939833333333354,-0.763,-0.179,8.886
119,3.97320000000002,-0.737,-0.184,8.886
120,4.006566666666686,-0.731,-0.127,8.886
121,4.039933333333352,-0.739,-0.15,8.886
122,4.0733000000000175,-0.75,-0.216,8.886
123,4.106666666666683,-0.71,-0.129,8.886
124,4.140033333333349,-0.673,-0.1,8.886
125,4.173400000000015,-0.574,-0.116,8.886
126,4.206766666666681,-0.459,-0.074,8.886
127,4.240133333333347,-0.479,-0.166,8.886
128,4.273500000000013,-0.446,-0.153,8.886
129,4.306866666666679,-0.4,-0.172,8.886
130,4.3402333333333445,-0.41,-0.112,8.886
131,4.37360000000001,-0.203,0.073,8.886
132,4.406966666666676,-0.075,0.044,8.886
133,4.440333333333342,-0.05,-0.024,8.886
134,4.473700000000008,0.069,0.031,8.886
135,4.507066666666674,0.155,0.01,8.886
136,4.54043333333334,0.21,0.029,8.886
137,4.573800000000006,0.312,0.058,8.886
138,4.607166666666672,0.43,0.136,8.886
139,4.640533333333337,0.45,0.026,8.886
140,4.673900000000003,0.518,0.099,8.886
141,4.707266666666669,0.515,0.08,8.886
142,4.740633333333335,0.473,0.03,8.886
143,4.774000000000001,0.459,0.031,8.886
144,4.807366666666667,0.446,0.026,8.886
145,4.840733333333333,0.377,0.055,8.886
146,4.874099999999999,0.254,-0.011,8.886
147,4.907466666666664,0.161,0.026,8.886
148,4.94083333333333,0.068,0.076,8.886
149,4.974199999999996,0.012,0.063,8.886
150,5.007566666666662,-0.04,0.032,8.886
151,5.040933333333328,-0.1,-0.031,8.886
152,5.074299999999994,-0.08,0.09,8.886
153,5.10766666666666,-0.074,0.052,8.886
154,5.141033333333326,-0.084,0.012,8.886
155,5.174399999999992,-0.069,0.068,8.886
