frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.019233333332977,-0.51,-0.446,8.886
1,0.0525999999999839,-0.069,-0.327,8.886
2,0.0859666666665361,-0.24,-0.396,8.886
3,0.1193333333330883,-0.439,-0.515,8.886
4,0.1527000000000953,-0.412,-0.359,8.886
5,0.1860666666661927,-0.528,-0.478,8.886
6,0.2194333333331997,-0.342,-0.367,8.886
7,0.2528000000002066,-0.039,-0.264,8.886
8,0.2861666666667588,-0.107,-0.285,8.886
9,0.319533333333311,-0.362,-0.424,8.886
10,0.3528999999998632,-0.588,-0.49,8.886
11,0.3862666666668701,-0.573,-0.423,8.886
12,0.4196333333334223,-0.584,-0.618,8.886
13,0.4529999999999745,-0.324,-0.753,8.886
14,0.4863666666665267,0.036,-0.417,8.886
15,0.5197333333330789,0.217,-0.406,8.886
16,0.5531000000000859,0.135,-0.544,8.886
17,0.5864666666661833,0.101,-0.764,8.886
18,0.6198333333331902,0.119,-0.295,8.886
19,0.6532000000001972,-0.258,-0.572,8.886
20,0.6865666666667494,-0.641,-0.632,8.886
21,0.7199333333333016,-0.575,-0.341,8.886
22,0.7532999999998538,-0.564,-0.322,8.886
23,0.7866666666668607,-0.805,-0.601,8.886
24,0.8200333333334129,-0.802,-0.354,8.886
25,0.8533999999999651,-0.978,-0.708,8.886
26,0.8867666666665173,-0.905,-0.518,8.886
27,0.9201333333330696,-0.745,-0.257,8.886
28,0.9535000000000764,-0.671,-0.473,8.886
29,0.9868666666661738,-0.62,-0.412,8.886
30,1.0202333333331808,-0.556,-0.146,8.886
31,1.0536000000001875,-0.729,-0.502,8.886
32,1.08696666666674,-0.858,-0.733,8.886
33,1.120333333333292,-0.611,-0.17,8.886
34,1.1536999999998443,-0.691,-0.49,8.886
35,1.1870666666668512,-0.592,-0.332,8.886
36,1.2204333333334034,-0.529,-0.295,8.886
37,1.2537999999999556,-0.415,-0.204,8.886
38,1.2871666666665078,-0.369,-0.315,8.886
39,1.32053333333306,-0.378,-0.371,8.886
40,1.353900000000067,-0.337,-0.321,8.886
41,1.3872666666666191,-0.412,-0.494,8.886
42,1.420633333333171,-0.182,-0.107,8.886
43,1.4540000000001785,-0.085,-0.254,8.886
44,1.4873666666667305,-0.06,-0.266,8.886
45,1.5207333333332826,0.067,-0.184,8.886
46,1.5540999999998348,0.191,-0.225,8.886
47,1.5874666666668418,0.28,-0.251,8.886
48,1.620833333333394,0.437,-0.198,8.886
49,1.6541999999999462,0.381,-0.406,8.886
50,1.6875666666664983,0.458,-0.253,8.886
51,1.7209333333330503,0.454,-0.293,8.886
52,1.7543000000000577,0.378,-0.31,8.886
53,1.7876666666666097,0.313,-0.287,8.886
54,1.8210333333331616,0.256,-0.224,8.886
55,1.8544000000001688,0.151,-0.253,8.886
56,1.887766666666721,0.162,-0.081,8.886
57,1.9211333333332727,0.184,-0.109,8.886
58,1.9544999999998252,0.194,-0.218,8.886
59,1.9878666666668323,0.336,-0.061,8.886
60,2.0212333333333845,0.432,-0.103,8.886
61,2.0545999999999367,0.366,-0.322,8.886
62,2.087966666666489,0.406,-0.188,8.886
63,2.121333333333041,0.432,-0.153,8.886
64,2.154700000000048,0.344,-0.218,8.886
65,2.1880666666666,0.266,-0.13,8.886
66,2.2214333333331524,0.21,-0.143,8.886
67,2.25480000000016,0.115,-0.164,8.886
68,2.2881666666667115,0.152,-0.002,8.886
69,2.321533333333264,0.236,-0.064,8.886
70,2.3549000000002707,0.263,-0.091,8.886
71,2.388266666666823,0.239,-0.3,8.886
72,2.421633333333375,0.256,-0.147,8.886
73,2.4549999999999272,0.203,-0.15,8.886
74,2.488366666666934,0.042,-0.25,8.886
75,2.521733333333032,0.061,0.008,8.886
76,2.5551000000000386,0.002,-0.138,8.886
77,2.5884666666665908,0.0,-0.221,8.886
78,2.6218333333335977,0.154,0.025,8.886
79,2.65520000000015,0.12,-0.204,8.886
80,2.688566666666702,0.072,-0.223,8.886
81,2.7219333333332543,0.135,-0.027,8.886
82,2.755300000000261,0.081,-0.101,8.886
83,2.7886666666668134,-0.032,-0.283,8.886
84,2.8220333333333656,0.075,-0.044,8.886
85,2.855399999999918,0.147,-0.012,8.886
86,2.8887666666669247,0.119,-0.169,8.886
87,2.922133333333022,0.133,-0.106,8.886
88,2.955500000000029,0.153,-0.054,8.886
89,2.9888666666665813,0.111,-0.126,8.886
90,3.022233333333588,0.096,-0.038,8.886
91,3.0556000000001404,0.091,-0.007,8.886
92,3.0889666666666926,0.071,-0.036,8.886
93,3.12233333333279,0.136,0.011,8.886
94,3.155700000000252,0.157,-0.056,8.886
95,3.189066666666804,0.196,0.022,8.886
96,3.222433333333356,0.194,-0.024,8.886
97,3.2557999999999083,0.253,0.003,8.886
98,3.2891666666669157,0.257,-0.017,8.886
99,3.3225333333330127,0.246,0.024,8.886
100,3.35590000000002,0.178,-0.059,8.886
101,3.389266666666572,0.186,0.13,8.886
102,3.4226333333335788,0.177,0.11,8.886
103,3.456000000000131,0.103,-0.003,8.886
104,3.489366666666683,0.114,0.088,8.886
105,3.5227333333327806,0.154,0.094,8.886
106,3.5560999999997875,0.197,0.185,8.886
107,3.5894666666667945,0.194,0.064,8.886
108,3.6228333333333462,0.237,0.069,8.886
109,3.656199999999899,0.26,0.079,8.886
110,3.689566666666906,0.186,-0.018,8.886
111,3.7229333333330032,0.108,-0.009,8.886
112,3.75630000000001,0.057,0.007,8.886
113,3.7896666666665615,-0.068,0.027,8.886
114,3.823033333333569,-0.042,0.171,8.886
115,3.8564000000001215,-0.078,0.019,8.886
116,3.8897666666666737,-0.005,0.115,8.886
117,3.923133333333226,0.006,0.096,8.886
118,3.956499999999778,-0.065,0.015,8.886
119,3.989866666666785,0.025,0.114,8.886
