frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0059999999999718,-0.124,-0.029,8.886
1,0.0393666666666376,-0.214,-0.049,8.886
2,0.0727333333331898,-0.267,0.005,8.886
3,0.1060999999999694,-0.258,0.058,8.886
4,0.1394666666666353,-0.102,0.023,8.886
5,0.1728333333331875,-0.013,0.001,8.886
6,0.206199999999967,-0.011,0.015,8.886
7,0.2395666666666329,-0.04,-0.054,8.886
8,0.2729333333331851,0.053,0.038,8.886
9,0.3062999999999647,0.032,-0.036,8.886
10,0.3396666666666306,0.016,-0.024,8.886
11,0.3730333333331828,0.049,0.019,8.886
12,0.4063999999999623,-0.059,-0.055,8.886
13,0.4397666666666282,-0.122,-0.055,8.886
14,0.4731333333334078,-0.198,-0.096,8.886
15,0.50649999999996,-0.184,-0.041,8.886
16,0.5398666666668532,-0.103,0.084,8.886
17,0.5732333333334054,-0.211,-0.066,8.886
18,0.6065999999999576,-0.272,-0.026,8.886
19,0.6399666666668509,-0.313,-0.06,8.886
20,0.6733333333334031,-0.328,-0.08,8.886
21,0.7066999999999553,-0.273,-0.036,8.886
22,0.7400666666668485,-0.228,-0.136,8.886
23,0.7734333333334007,-0.151,-0.06,8.886
24,0.8067999999999529,-0.066,-0.026,8.886
25,0.8401666666668461,-0.081,-0.12,8.886
26,0.8735333333333983,-0.056,-0.069,8.886
27,0.9068999999999504,-0.077,-0.085,8.886
28,0.9402666666668438,-0.19,-0.249,8.886
29,0.973633333333396,-0.167,-0.193,8.886
30,1.0069999999999482,-0.124,-0.097,8.886
31,1.0403666666668414,-0.165,-0.261,8.886
32,1.0737333333333936,-0.248,-0.367,8.886
33,1.1070999999999458,-0.306,-0.304,8.886
34,1.140466666666839,-0.34,-0.224,8.886
35,1.1738333333333912,-0.262,-0.224,8.886
36,1.2071999999999434,-0.274,-0.298,8.886
37,1.240566666666837,-0.185,-0.198,8.886
38,1.2739333333333889,-0.174,-0.364,8.886
39,1.3073000000000548,-0.188,-0.314,8.886
40,1.3406666666668343,-0.059,-0.286,8.886
41,1.3740333333333865,-0.125,-0.51,8.886
42,1.4074000000000524,-0.184,-0.485,8.886
43,1.440766666666832,-0.109,-0.338,8.886
44,1.474133333333384,-0.106,-0.435,8.886
45,1.50750000000005,-0.022,-0.174,8.886
46,1.5408666666668296,0.072,-0.201,8.886
47,1.5742333333333818,0.126,-0.21,8.886
48,1.6076000000000477,0.221,-0.144,8.886
49,1.6409666666668272,0.433,-0.054,8.886
50,1.6743333333333794,0.444,-0.2,8.886
51,1.7077000000000453,0.484,-0.083,8.886
52,1.7410666666668249,0.526,-0.049,8.886
53,1.774433333333377,0.519,-0.046,8.886
54,1.807800000000043,0.595,0.106,8.886
55,1.8411666666668225,0.666,0.217,8.886
56,1.874533333333375,0.69,0.081,8.886
57,1.9079000000000408,0.685,0.051,8.886
58,1.94126666666682,0.672,0.106,8.886
59,1.9746333333333723,0.473,-0.055,8.886
