frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0127333333333581,0.634,-2.924,-1.512,-93.643,2.865,6.777,24.4,17.41432937,78.39425839,0.821,0.973
1,0.046100000000024,-0.609,-4.795,-2.554,-65.234,-5.709,6.813,24.53,17.4143285,78.39426046,0.717,0.948
2,0.0794666666668035,-3.187,-5.254,-2.779,-23.313,-18.268,6.85,24.66,17.41432763,78.39426253,0.648,0.926
3,0.1128333333333557,-1.076,-2.711,-0.112,71.513,12.376,6.884,24.78,17.41432672,78.39426465,0.599,0.906
4,0.1462000000000216,0.565,1.024,-1.167,113.647,13.609,6.915,24.9,17.41432571,78.39426685,0.562,0.888
5,0.1795666666668012,-2.113,3.443,-7.678,77.969,-24.18,6.947,25.01,17.41432471,78.39426905,0.535,0.871
6,0.2129333333333534,-4.564,2.973,-9.972,-9.512,-26.849,7.009,25.23,17.41432336,78.39427125,0.513,0.856
7,0.2463000000000192,-3.863,-0.63,-8.391,-108.913,4.344,7.121,25.64,17.41432146,78.39427346,0.496,0.842
8,0.2796666666667988,-2.647,-5.675,-14.51,-159.358,14.042,7.233,26.04,17.41431956,78.39427566,0.483,0.829
9,0.313033333333351,-1.868,-8.087,-8.329,-83.599,8.796,7.325,26.37,17.41431775,78.39427783,0.472,0.817
10,0.3464000000000169,-1.461,-7.545,-7.493,5.96,5.274,7.387,26.59,17.41431608,78.39427997,0.464,0.806
11,0.3797666666667965,-2.385,-4.797,-8.954,75.988,-10.328,7.449,26.81,17.41431441,78.39428211,0.457,0.796
12,0.413133333333235,-4.941,0.113,-7.635,147.235,-35.346,7.505,27.02,17.41431264,78.3942841,0.451,0.787
13,0.4465000000000145,-8.245,3.115,-13.546,93.858,-50.029,7.553,27.19,17.4143107,78.39428586,0.447,0.779
14,0.4798666666667941,-9.131,1.589,-12.771,-43.798,-17.373,7.602,27.37,17.41430877,78.39428763,0.443,0.771
15,0.5132333333332326,-6.203,-2.19,-7.199,-115.959,31.941,7.636,27.49,17.41430698,78.39428943,0.44,0.764
16,0.5466000000000122,-3.877,-4.744,-6.58,-82.233,26.953,7.648,27.53,17.41430541,78.39429126,0.438,0.757
17,0.5799666666667918,-2.895,-3.394,-0.149,36.456,8.262,7.661,27.58,17.41430384,78.3942931,0.436,0.751
18,0.6133333333332303,-3.824,0.226,-1.119,108.673,-16.129,7.708,27.75,17.41430211,78.39429501,0.435,0.745
19,0.6467000000000098,-6.211,4.147,-6.398,122.149,-37.07,7.807,28.11,17.41430014,78.39429705,0.433,0.74
20,0.6800666666667894,-7.434,7.673,-7.927,114.217,-21.314,7.907,28.46,17.41429818,78.39429908,0.432,0.735
21,0.7134333333332279,-5.338,7.782,-2.94,11.858,20.311,7.973,28.7,17.41429637,78.3943012,0.432,0.731
22,0.7468000000000075,-2.839,4.843,-3.422,-82.809,29.306,7.99,28.76,17.4142948,78.39430344,0.431,0.726
23,0.780166666666787,-1.697,2.947,0.807,-53.631,11.178,8.007,28.82,17.41429323,78.39430567,0.431,0.723
24,0.8135333333332255,-2.442,0.492,-4.953,-73.012,-10.298,7.991,28.77,17.41429199,78.39430795,0.43,0.719
25,0.8469000000000051,-2.656,0.091,-7.774,-11.898,-2.957,7.926,28.54,17.41429122,78.39431028,0.43,0.716
26,0.8802666666667847,-0.592,2.421,3.048,72.419,23.903,7.862,28.3,17.41429045,78.39431262,0.43,0.713
27,0.9136333333332232,0.679,3.184,-3.012,26.225,17.67,7.855,28.28,17.41428929,78.3943149,0.43,0.71
28,0.9470000000000028,1.965,1.772,-1.159,-40.455,18.501,7.93,28.55,17.41428756,78.3943171,0.43,0.708
29,0.9803666666667824,4.227,-0.792,-1.825,-77.607,35.237,8.006,28.82,17.41428582,78.3943193,0.43,0.706
30,1.0137333333332208,5.899,-3.929,-12.722,-97.981,33.933,8.071,29.06,17.41428413,78.39432149,0.43,0.704
31,1.0471000000000004,6.619,-5.015,-1.741,-37.605,16.79,8.122,29.24,17.41428249,78.39432366,0.43,0.702
32,1.08046666666678,6.526,-4.631,-5.038,6.845,7.936,8.173,29.42,17.41428086,78.39432583,0.43,0.7
33,1.1138333333332184,5.592,-3.81,-8.561,20.748,-1.745,8.208,29.55,17.41427904,78.39432783,0.43,0.699
34,1.147199999999998,5.372,-3.272,-4.779,12.828,4.947,8.219,29.59,17.41427697,78.3943296,0.43,0.697
35,1.1805666666667776,6.154,-4.516,-4.936,-41.858,18.077,8.23,29.63,17.4142749,78.39433137,0.43,0.696
36,1.213933333333216,7.346,-5.816,-3.224,-44.81,24.108,8.233,29.64,17.41427299,78.39433321,0.43,0.695
37,1.2472999999999956,6.992,-6.472,-4.835,-26.18,5.204,8.225,29.61,17.41427129,78.39433514,0.43,0.694
38,1.2806666666667752,5.673,-6.546,-4.442,-8.815,-7.888,8.217,29.58,17.41426959,78.39433708,0.43,0.693
39,1.3140333333332137,2.579,-5.453,-4.505,27.229,-35.045,8.184,29.46,17.4142679,78.39433889,0.43,0.692
40,1.3473999999999933,0.93,-4.405,-2.824,26.887,-18.383,8.117,29.22,17.41426623,78.39434052,0.43,0.691
41,1.3807666666667728,0.723,-3.755,-3.417,15.615,-0.745,8.05,28.98,17.41426456,78.39434216,0.43,0.691
42,1.4141333333332111,2.122,-3.193,-0.539,13.48,19.709,7.986,28.75,17.41426289,78.39434376,0.43,0.69
