frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0,0.829,-0.572,15.084,-18.318,1.318,10.935,39.37,17.43253471,78.37054347,0.821,0.973
1,0.033333333333303,4.627,1.582,-3.572,67.657,14.693,10.941,39.39,17.43253248,78.37054603,0.717,0.948
2,0.066666666666606,7.085,1.997,-7.709,16.068,15.983,10.959,39.45,17.43253025,78.3705486,0.648,0.926
3,0.1000000000000227,8.576,0.493,6.712,-44.238,13.107,10.983,39.54,17.43252801,78.37055117,0.599,0.906
4,0.1333333333333257,11.625,1.984,3.62,48.021,26.238,11.006,39.62,17.43252578,78.37055373,0.562,0.888
5,0.1666666666666287,9.504,0.691,28.475,-37.668,-8.034,10.999,39.6,17.43252357,78.37055627,0.535,0.871
6,0.2000000000000454,7.707,1.597,-2.734,29.618,-3.173,10.981,39.53,17.43252137,78.37055881,0.513,0.856
7,0.2333333333333485,10.859,3.554,-13.444,64.024,37.892,10.964,39.47,17.43251917,78.37056134,0.496,0.842
8,0.2666666666666515,6.365,2.691,11.406,-22.019,-30.281,10.97,39.49,17.43251697,78.37056395,0.483,0.829
9,0.2999999999999545,3.788,2.63,1.269,1.879,-15.682,10.985,39.55,17.43251477,78.37056658,0.472,0.817
10,0.3333333333333712,1.11,3.117,0.354,18.863,-19.741,11.0,39.6,17.43251257,78.37056922,0.464,0.806
11,0.3666666666666742,3.548,3.348,-5.41,11.402,25.058,11.022,39.68,17.43251036,78.37057178,0.457,0.796
12,0.3999999999999772,2.175,1.778,9.14,-44.787,-11.313,11.045,39.76,17.43250815,78.37057432,0.451,0.787
13,0.4333333333332803,-1.999,2.299,4.849,18.574,-44.079,11.069,39.85,17.43250594,78.37057686,0.447,0.779
14,0.466666666666697,0.865,3.994,-12.582,55.852,30.834,11.081,39.89,17.43250371,78.37057947,0.443,0.771
15,0.5,-2.185,5.216,7.078,43.018,-32.462,11.087,39.91,17.43250148,78.3705821,0.44,0.763
16,0.533333333333303,-1.308,3.628,-2.542,-43.241,7.159,11.094,39.94,17.43249925,78.37058474,0.438,0.757
17,0.566666666666606,0.621,4.918,-12.374,44.543,21.686,11.089,39.92,17.43249701,78.3705873,0.436,0.751
18,0.6000000000000227,6.041,8.728,-17.329,124.452,102.827,11.079,39.88,17.43249478,78.37058983,0.435,0.745
19,0.6333333333333258,0.128,1.323,-16.922,-220.527,-64.032,11.069,39.85,17.43249255,78.37059237,0.433,0.74
20,0.6666666666666288,-0.789,1.066,-2.852,-6.411,-7.668,11.102,39.97,17.43249027,78.37059496,0.432,0.735
21,0.7000000000000455,3.714,9.718,-46.374,270.431,97.903,11.152,40.15,17.43248798,78.37059759,0.432,0.73
22,0.7333333333333485,-3.129,3.851,12.419,-171.643,-175.849,11.202,40.33,17.4324857,78.37060022,0.431,0.726
23,0.7666666666666515,0.894,3.488,7.818,-6.94,39.023,11.233,40.44,17.43248345,78.37060285,0.431,0.723
24,0.7999999999999545,-3.815,-3.009,21.686,-197.954,-76.883,11.257,40.52,17.43248121,78.37060548,0.43,0.719
25,0.8333333333333712,-2.518,-1.532,-13.814,42.871,13.404,11.281,40.61,17.43247898,78.37060812,0.43,0.716
