frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0107666666666546,-0.068,0.044,0.012,1.408,-0.443,4.457,16.05,17.44465736,78.35393642,0.821,0.973
1,0.0441333333333204,-0.041,0.027,0.171,-0.47,0.034,5.275,18.99,17.44529837,78.35250536,0.717,0.948
2,0.0774999999999863,0.016,0.013,0.248,-0.384,0.558,3.494,12.58,17.42235263,78.38266795,0.648,0.926
3,0.1108666666666522,-0.036,-0.032,-0.087,-1.402,-0.665,3.832,13.8,17.44260834,78.35625797,0.599,0.906
4,0.1442333333333181,-0.088,-0.041,-0.108,-0.351,-0.913,3.692,13.29,17.43476715,78.36648087,0.562,0.888
5,0.177599999999984,-0.085,-0.024,0.017,0.484,-0.098,7.039,25.34,17.44481845,78.3528577,0.535,0.871
6,0.2109666666666498,-0.023,-0.048,0.378,-0.797,0.69,4.35,15.66,17.44560539,78.35228499,0.513,0.856
7,0.2443333333333157,-0.036,-0.053,0.111,-0.239,-0.409,3.786,13.63,17.43472896,78.36653206,0.496,0.842
8,0.2776999999999816,-0.154,-0.08,-0.052,-0.912,-1.473,6.87,24.73,17.44482531,78.35285183,0.483,0.829
9,0.3110666666666475,-0.153,-0.082,-0.007,-0.183,-0.338,4.279,15.4,17.44560772,78.35228588,0.472,0.817
10,0.3444333333333134,-0.111,-0.037,0.07,1.297,0.421,5.266,18.96,17.44529932,78.35250858,0.464,0.806
11,0.3777999999999792,-0.122,-0.069,-0.056,-1.038,-0.555,3.566,12.84,17.42253922,78.3824219,0.457,0.796
12,0.4111666666666451,-0.123,-0.061,-0.265,0.162,-0.141,3.744,13.48,17.44278963,78.35602887,0.451,0.787
13,0.444533333333311,-0.146,-0.064,-0.233,-0.164,-0.431,6.286,22.63,17.44198888,78.35829855,0.447,0.779
14,0.4778999999999769,-0.196,-0.084,-0.374,-0.73,-0.763,6.968,25.09,17.44483926,78.3528402,0.443,0.771
15,0.5112666666666428,-0.193,-0.036,-0.298,1.4,-0.169,4.239,15.26,17.44561277,78.35228768,0.44,0.764
16,0.5446333333333087,-0.183,-0.015,-0.226,0.618,-0.021,3.617,13.02,17.43479274,78.36645207,0.438,0.757
17,0.5779999999999745,-0.247,-0.056,-0.45,-1.286,-1.036,6.77,24.37,17.444823,78.352851,0.436,0.751
18,0.6113666666666404,-0.277,-0.046,-0.596,0.22,-0.887,4.111,14.8,17.44561239,78.35229062,0.435,0.745
19,0.6447333333333063,-0.266,0.033,-0.283,2.427,-0.12,5.192,18.69,17.44530759,78.35250662,0.433,0.74
20,0.6780999999999722,-0.289,0.033,-0.136,0.017,-0.503,8.94,32.19,17.43775043,78.36521012,0.432,0.735
21,0.711466666666638,-0.254,0.02,-0.16,-0.345,0.311,4.362,15.7,17.44476814,78.35377044,0.432,0.731
22,0.7448333333333039,-0.229,-0.034,-0.159,-1.66,0.107,6.108,21.99,17.44200238,78.35827804,0.431,0.726
23,0.7781999999999698,-0.216,-0.03,-0.155,0.083,-0.042,6.791,24.45,17.44483718,78.35283942,0.431,0.723
24,0.8115666666666357,-0.176,-0.004,-0.048,0.778,0.551,4.127,14.86,17.44561752,78.35229247,0.43,0.719
25,0.8449333333333016,-0.137,0.009,-0.038,0.398,0.413,6.085,21.91,17.44198689,78.35830401,0.43,0.716
26,0.8782999999999674,-0.095,0.027,0.039,0.548,0.418,6.839,24.62,17.44484438,78.35283374,0.43,0.713
27,0.9116666666666332,-0.068,0.03,0.135,0.134,0.361,4.094,14.74,17.44562024,78.35229347,0.43,0.71
28,0.9450333333332992,-0.109,0.005,-0.145,-0.745,-0.758,6.089,21.92,17.44197149,78.3583299,0.43,0.708
29,0.9783999999999652,-0.104,0.038,0.029,1.014,-0.226,3.171,11.41,17.42231163,78.38271505,0.43,0.706
