frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0298999999999978,7.587,-0.908,4.602,-29.081,29.83,7.69,27.68,17.45126202,78.36332445,0.821,0.973
1,0.0632666666666637,12.417,-0.252,3.874,19.191,33.128,8.28,29.81,17.44848213,78.35521805,0.717,0.948
2,0.0966333333333295,11.046,1.065,-2.049,41.402,8.375,7.205,25.94,17.44658715,78.35084801,0.648,0.926
3,0.1299999999999954,3.466,2.522,-10.556,48.045,-37.697,8.486,30.55,17.431935,78.3710584,0.599,0.906
4,0.1633666666666613,-2.717,3.075,-11.801,21.693,-43.649,8.527,30.7,17.44155487,78.3579702,0.562,0.888
5,0.1967333333333272,-1.408,2.913,0.21,-0.22,8.808,7.212,25.96,17.44658786,78.35084451,0.535,0.871
6,0.2300999999999931,3.042,1.851,9.387,-28.949,41.905,7.855,28.28,17.45117464,78.36361077,0.513,0.856
7,0.2634666666666589,6.267,1.225,7.28,-16.949,34.14,8.564,30.83,17.44015557,78.35987557,0.496,0.842
8,0.2968333333333248,9.643,0.845,9.047,-10.164,49.858,7.288,26.24,17.4465886,78.35084108,0.483,0.829
9,0.3301999999999907,9.746,-0.257,-0.083,-33.365,13.731,7.582,27.3,17.45118132,78.36361032,0.472,0.817
10,0.3635666666666566,7.594,-0.737,-4.528,-15.381,-10.558,8.526,30.69,17.43772577,78.36318229,0.464,0.806
11,0.3969333333333225,7.935,-0.574,3.946,4.155,11.294,8.485,30.54,17.44162032,78.35786245,0.457,0.796
12,0.4302999999999883,7.661,-0.024,0.204,16.476,11.512,4.382,15.77,17.44568975,78.35143308,0.451,0.787
13,0.4636666666666826,7.175,0.122,-0.814,4.523,3.454,8.502,30.61,17.43247629,78.37032455,0.447,0.779
14,0.4970333333333485,7.312,-0.526,1.021,-20.068,11.3,7.181,25.85,17.44658945,78.35083437,0.443,0.771
15,0.530399999999986,7.188,-1.349,0.74,-26.291,7.369,7.708,27.75,17.45119529,78.36360932,0.44,0.764
16,0.5637666666666803,5.688,-1.659,-3.515,-11.25,-8.767,8.31,29.92,17.43647103,78.36929151,0.438,0.757
17,0.5971333333333462,4.764,-0.876,-1.558,22.454,-4.083,8.453,30.43,17.44155299,78.35795452,0.436,0.751
18,0.630500000000012,4.082,-0.267,-0.58,17.939,-2.776,7.801,28.08,17.45133626,78.36341678,0.435,0.745
19,0.6638666666666779,1.772,0.348,-7.043,18.816,-22.157,8.322,29.96,17.4484974,78.35513402,0.433,0.74
20,0.6972333333333438,2.229,0.045,3.259,-9.014,6.726,8.465,30.47,17.43141592,78.37174826,0.432,0.735
21,0.7306000000000097,4.726,-1.72,9.045,-54.794,35.366,7.831,28.19,17.45133483,78.3633917,0.432,0.731
22,0.7639666666666756,5.348,-2.613,1.258,-29.634,13.252,8.293,29.85,17.44849494,78.35510547,0.431,0.726
23,0.7973333333333414,6.373,-3.187,3.62,-20.68,18.071,8.471,30.5,17.43194356,78.3710507,0.431,0.723
24,0.8307000000000073,6.869,-3.219,2.213,-4.419,13.994,7.799,28.08,17.4513333,78.36336669,0.43,0.719
25,0.8640666666666732,6.363,-2.254,1.363,26.504,1.089,8.281,29.81,17.44849245,78.35507687,0.43,0.716
26,0.8974333333333391,3.418,-1.328,-4.247,26.295,-29.401,8.557,30.81,17.43806448,78.36272737,0.43,0.713
27,0.930800000000005,3.141,-0.315,0.498,29.977,0.881,4.354,15.68,17.44581654,78.35123423,0.43,0.71
28,0.9641666666666708,4.797,0.224,8.705,16.332,26.207,7.121,25.63,17.44656889,78.35083107,0.43,0.708
29,0.9975333333333368,5.711,-1.107,6.736,-41.061,14.671,8.539,30.74,17.44067542,78.35917753,0.43,0.706
30,1.0309000000000026,7.306,-1.929,9.018,-26.668,25.865,7.941,28.59,17.45133051,78.36331631,0.43,0.704
31,1.0642666666666685,7.457,-0.923,1.25,29.159,10.108,8.307,29.91,17.44848742,78.3550195,0.43,0.702
32,1.097633333333306,5.064,-0.557,-5.555,10.333,-19.796,8.507,30.62,17.44219183,78.35711659,0.43,0.7
33,1.1310000000000002,3.897,0.776,-1.416,40.662,-15.547,4.466,16.08,17.4457912,78.3512399,0.43,0.699
34,1.164366666666666,2.648,1.298,-1.205,16.871,-12.708,7.084,25.5,17.44657015,78.35082406,0.43,0.697
