frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0215000000002874,1.084,-0.182,7.926,-5.821,4.759,5.558,20.01,17.40787913,78.40154948,0.821,0.973
1,0.0548666666668395,1.402,-0.489,5.353,-10.15,3.271,5.414,19.49,17.40787792,78.40154851,0.717,0.948
2,0.0882333333333917,0.618,-0.789,3.564,-10.403,-5.184,5.27,18.97,17.40787672,78.40154754,0.648,0.926
3,0.1215999999999439,0.337,-0.941,0.954,-6.197,-2.04,5.266,18.96,17.40787541,78.40154651,0.599,0.906
4,0.1549666666669509,0.133,-0.616,1.709,8.713,-2.307,5.338,19.22,17.40787405,78.40154544,0.562,0.888
5,0.1883333333330483,1.096,-0.549,2.034,1.123,11.772,5.411,19.48,17.40787268,78.40154437,0.535,0.871
6,0.2217000000000553,-0.116,-0.391,-1.245,4.135,-14.259,5.418,19.51,17.40787138,78.40154337,0.513,0.856
7,0.2550666666666075,-0.872,0.525,0.072,28.215,-11.429,5.391,19.41,17.40787011,78.4015424,0.496,0.842
8,0.2884333333336144,-0.831,1.983,4.14,46.573,-2.83,5.364,19.31,17.40786884,78.40154144,0.483,0.829
9,0.3218000000001666,-0.764,1.837,2.031,-1.833,-1.369,5.308,19.11,17.40786757,78.40154053,0.472,0.817
10,0.3551666666667188,-0.935,1.465,2.146,-9.153,-5.492,5.236,18.85,17.4078663,78.40153967,0.464,0.806
11,0.388533333333271,-0.761,1.592,6.282,5.942,-1.953,5.164,18.59,17.40786504,78.4015388,0.457,0.796
12,0.4219000000002779,-0.286,0.981,5.504,-17.042,4.463,5.092,18.33,17.40786375,78.40153811,0.451,0.787
13,0.4552666666668301,-0.249,0.638,5.9,-9.477,-3.253,5.02,18.07,17.40786244,78.40153751,0.447,0.779
14,0.4886333333333823,0.185,0.603,9.389,-0.278,2.621,4.948,17.81,17.40786114,78.4015369,0.443,0.771
15,0.5219999999999345,1.246,0.944,12.863,11.362,14.327,4.923,17.72,17.40785989,78.40153611,0.44,0.764
16,0.5553666666669415,2.041,-0.848,8.916,-54.675,13.495,4.922,17.72,17.40785865,78.40153521,0.438,0.757
17,0.5887333333330389,1.912,0.13,10.395,29.457,-5.257,4.921,17.72,17.40785742,78.4015343,0.436,0.751
18,0.6221000000000458,2.146,0.179,9.767,1.717,2.552,4.892,17.61,17.4078562,78.40153345,0.435,0.745
19,0.655466666666598,1.854,-0.191,7.721,-11.309,-6.958,4.848,17.45,17.407855,78.40153261,0.433,0.74
20,0.688833333333605,1.018,-0.727,2.144,-16.849,-15.922,4.805,17.3,17.4078538,78.40153178,0.432,0.735
21,0.7222000000001572,1.024,-0.247,7.166,14.107,-2.392,4.789,17.24,17.40785256,78.40153101,0.432,0.731
22,0.7555666666667094,0.678,0.048,8.335,8.902,-10.941,4.787,17.23,17.40785129,78.40153028,0.431,0.726
23,0.7889333333332615,0.299,0.846,8.447,24.869,-12.464,4.785,17.22,17.40785002,78.40152954,0.431,0.723
24,0.8223000000002685,0.403,0.195,7.781,-19.295,-2.001,4.771,17.18,17.40784877,78.40152885,0.43,0.719
25,0.8556666666668207,-0.079,0.063,4.963,-3.885,-13.017,4.752,17.11,17.40784754,78.40152819,0.43,0.716
26,0.8890333333333729,-0.807,0.382,2.868,9.999,-18.176,4.732,17.04,17.40784631,78.40152752,0.43,0.713
27,0.9223999999999252,-0.73,0.609,0.762,7.459,-0.015,4.633,16.68,17.40784516,78.40152705,0.43,0.71
28,0.955766666666932,-1.313,-0.007,-7.439,-18.452,-9.586,4.493,16.18,17.40784406,78.40152669,0.43,0.708
29,0.9891333333330294,-2.571,-0.711,-10.149,-21.814,-25.969,4.354,15.68,17.40784296,78.40152632,0.43,0.706
30,1.0225000000000364,-3.579,-0.936,-9.513,-7.694,-23.266,4.296,15.47,17.40784186,78.4015257,0.43,0.704
31,1.0558666666665886,-4.297,-1.128,-7.134,-6.871,-20.101,4.277,15.4,17.40784076,78.40152497,0.43,0.702
32,1.0892333333335955,-4.532,-0.851,-6.412,7.434,-10.149,4.257,15.33,17.40783966,78.40152424,0.43,0.7
33,1.1226000000001477,-5.066,-0.161,-7.127,20.522,-17.727,4.253,15.31,17.40783858,78.40152346,0.43,0.699
34,1.1559666666667,-5.094,0.07,-4.432,6.989,-8.222,4.255,15.32,17.40783751,78.40152266,0.43,0.697
35,1.189333333333252,-4.558,0.265,-2.823,6.122,4.58,4.257,15.33,17.40783644,78.40152186,0.43,0.696
36,1.222700000000259,-4.892,0.218,-9.042,-1.194,-11.465,4.202,15.13,17.40783542,78.40152119,0.43,0.695
37,1.2560666666668112,-5.073,0.205,-10.224,-0.157,-7.59,4.12,14.83,17.40783442,78.40152059,0.43,0.694
38,1.2894333333333634,-5.139,0.622,-6.022,13.118,-8.55,4.037,14.53,17.40783342,78.40151999,0.43,0.693
39,1.3227999999999156,-4.744,0.441,-5.889,-4.991,3.373,3.988,14.36,17.40783244,78.40151934,0.43,0.692
40,1.3561666666669223,-4.746,0.913,-4.918,15.063,-7.17,3.955,14.24,17.40783147,78.40151868,0.43,0.691
41,1.38953333333302,-4.772,0.159,-6.3,-22.422,-6.809,3.921,14.12,17.4078305,78.40151801,0.43,0.691
42,1.422900000000027,-4.567,0.326,-5.15,5.356,-1.564,3.886,13.99,17.4078296,78.40151727,0.43,0.69
43,1.4562666666665791,-3.769,2.979,-0.031,82.442,11.02,3.849,13.86,17.40782874,78.40151651,0.43,0.69
44,1.489633333333586,-3.506,2.075,-12.877,-25.015,8.951,3.812,13.72,17.40782787,78.40151574,0.43,0.689
