frame_idx,timestamp_s,roll_deg,pitch_deg,roll_rate_dps,pitch_rate_dps,yaw_rate_dps,speed_mps,speed_kmh,gps_lat,gps_lon,roll_unc_deg,pitch_unc_deg
0,0.0289000000002488,-2.916,-1.822,0.183,-58.333,-16.414,5.216,18.78,17.411361,78.56526117,0.821,0.973
1,0.062266666666801,-0.034,-3.487,3.58,-56.564,15.031,5.229,18.82,17.411361,78.56526288,0.717,0.948
2,0.0956333333333532,-1.476,-9.601,-9.936,-200.713,-10.627,5.241,18.87,17.411361,78.56526458,0.648,0.926
3,0.1289999999999054,0.713,-8.376,-5.736,22.186,22.052,5.237,18.85,17.41136097,78.56526622,0.599,0.906
4,0.1623666666664576,2.023,-6.395,-2.079,48.717,17.711,5.23,18.83,17.41136094,78.56526786,0.562,0.888
5,0.1957333333330098,-0.806,-5.299,-7.338,24.379,-31.481,5.223,18.8,17.4113609,78.56526949,0.535,0.871
6,0.2291000000004714,-4.718,-4.463,-17.085,18.153,-54.306,5.213,18.77,17.41136099,78.5652711,0.513,0.856
7,0.2624666666670237,-5.877,-4.9,-12.732,-20.404,-21.12,5.203,18.73,17.41136109,78.5652727,0.496,0.842
8,0.2958333333335758,-8.195,-5.728,-21.783,-33.1,-39.776,5.193,18.7,17.41136119,78.5652743,0.483,0.829
9,0.329200000000128,-8.398,-8.989,-12.899,-110.357,-12.387,5.177,18.64,17.41136108,78.5652759,0.472,0.817
10,0.3625666666666802,-7.799,-3.733,0.336,152.412,-5.395,5.159,18.57,17.41136095,78.5652775,0.464,0.806
11,0.3959333333332324,-10.912,-6.769,-42.977,-100.029,-51.54,5.142,18.51,17.41136082,78.5652791,0.457,0.796
12,0.4292999999997846,-10.412,-2.987,-15.132,109.405,-2.807,5.02,18.07,17.41136074,78.56528041,0.451,0.787
13,0.4626666666663368,-11.812,-4.184,-35.439,-41.26,-28.003,4.884,17.58,17.41136067,78.56528168,0.447,0.779
14,0.4960333333337985,-13.451,-4.436,-32.238,-13.139,-39.662,4.748,17.09,17.41136061,78.56528295,0.443,0.771
15,0.5294000000003507,-14.788,-1.391,-31.949,89.464,-36.684,4.74,17.06,17.41136048,78.56528442,0.44,0.764
16,0.5627666666669029,-15.708,-3.746,-39.479,-75.164,-24.799,4.749,17.1,17.41136035,78.56528592,0.438,0.757
17,0.5961333333334551,-15.61,-1.488,-32.311,65.814,-8.9,4.758,17.13,17.41136022,78.56528743,0.436,0.751
18,0.6295000000000073,-17.384,-3.822,-54.291,-74.488,-36.306,4.719,16.99,17.41135993,78.56528884,0.435,0.745
19,0.6628666666665595,-17.725,-3.802,-37.542,-3.864,-18.757,4.674,16.83,17.41135963,78.56529024,0.433,0.74
20,0.6962333333331117,-17.623,-1.469,-35.177,68.137,-11.105,4.629,16.66,17.41135933,78.56529164,0.432,0.735
21,0.7295999999996639,-17.77,-3.208,-46.435,-55.831,-8.97,4.564,16.43,17.411359,78.56529295,0.432,0.731
22,0.7629666666671255,-15.838,-1.808,-22.505,39.814,22.587,4.496,16.19,17.41135867,78.56529426,0.431,0.726
23,0.7963333333336777,-16.178,-1.765,-37.973,-0.801,-16.345,4.428,15.94,17.41135834,78.56529556,0.431,0.723
24,0.8297000000002299,-17.282,-2.018,-45.916,-9.931,-30.387,4.387,15.79,17.411358,78.56529686,0.43,0.719
25,0.8630666666667821,-16.622,-2.307,-37.843,-11.296,4.397,4.35,15.66,17.41135767,78.56529816,0.43,0.716
26,0.8964333333333343,-15.671,-2.635,-35.711,-12.783,11.365,4.312,15.52,17.41135734,78.56529946,0.43,0.713
27,0.9297999999998864,-14.905,-2.875,-34.561,-10.397,7.969,4.261,15.34,17.41135694,78.5653007,0.43,0.71
28,0.9631666666664388,-14.157,-1.619,-27.458,35.716,3.783,4.209,15.15,17.41135654,78.56530194,0.43,0.708
29,0.9965333333329908,-14.91,-2.612,-48.501,-32.657,-16.776,4.156,14.96,17.41135614,78.56530317,0.43,0.706
30,1.0299000000004526,-12.16,-3.961,-18.0,-44.726,50.34,4.084,14.7,17.41135586,78.56530432,0.43,0.704
31,1.0632666666670048,-9.851,-3.824,-12.915,-0.02,40.78,4.01,14.44,17.41135559,78.56530545,0.43,0.702
