frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0047999999999888,0.107,-0.013,9.351
1,0.0381666666666831,0.067,-0.036,8.671
2,0.0715333333333205,0.096,0.021,7.991
3,0.1048999999999864,0.038,-0.079,3.232
4,0.1382666666666807,0.045,0.027,5.216
5,0.1716333333333182,0.003,-0.024,7.2
6,0.2050000000000125,-0.048,-0.027,9.372
7,0.2383666666666783,-0.038,-0.003,8.757
8,0.2717333333333158,0.009,0.025,8.141
9,0.3051000000000101,0.154,0.141,8.768
10,0.338466666666676,0.302,0.185,8.402
11,0.3718333333333135,0.349,0.115,8.036
12,0.4052000000000078,0.386,0.035,9.371
13,0.4385666666666736,0.239,-0.077,8.77
14,0.4719333333333111,0.172,-0.002,8.169
15,0.5053000000000054,0.108,-0.077,8.485
16,0.5386666666666713,0.045,-0.061,8.294
17,0.5720333333333087,0.041,-0.003,8.104
18,0.605400000000003,0.014,-0.016,8.597
19,0.6387666666666689,0.011,0.026,8.364
20,0.6721333333333064,0.052,0.065,8.132
21,0.7055000000000007,0.097,0.07,8.622
22,0.7388666666666666,0.109,0.026,8.438
23,0.7722333333333324,0.089,0.034,8.254
24,0.8055999999999983,0.033,-0.101,3.698
25,0.8389666666666358,-0.048,-0.132,5.596
26,0.8723333333333301,-0.064,-0.005,7.494
27,0.905699999999996,-0.038,0.068,3.791
28,0.9390666666666334,0.02,0.164,5.659
29,0.9724333333333276,0.051,0.097,7.527
30,1.0057999999999936,0.047,0.075,4.011
31,1.039166666666631,0.063,0.058,5.844
32,1.0725333333333251,0.057,0.054,7.678
33,1.1058999999999912,0.032,0.045,9.279
34,1.139266666666629,0.112,0.193,8.856
35,1.172633333333266,0.134,0.072,8.433
36,1.2059999999999889,0.104,0.033,4.131
37,1.2393666666666832,0.099,0.064,5.919
38,1.2727333333333206,0.057,0.003,7.706
39,1.3060999999999865,0.053,0.042,8.566
40,1.3394666666666808,0.075,0.088,8.507
41,1.3728333333333185,0.059,0.064,8.448
42,1.4062000000000126,0.085,0.089,9.376
43,1.4395666666666784,0.12,0.137,9.005
44,1.472933333333316,0.066,0.023,8.633
45,1.5063000000000102,0.042,0.037,9.33
46,1.539666666666676,0.074,0.185,8.958
47,1.5730333333333135,0.036,0.039,8.587
48,1.6064000000000078,0.039,0.051,8.646
49,1.6397666666666737,0.027,0.074,8.619
50,1.6731333333333112,0.025,0.058,8.593
51,1.7065000000000057,0.027,0.084,4.237
52,1.7398666666666711,0.055,0.127,6.107
53,1.7732333333333088,0.044,0.082,7.978
54,1.806600000000003,0.059,0.179,4.144
55,1.839966666666669,0.079,0.087,6.073
56,1.8733333333333064,0.024,-0.051,8.002
57,1.9067000000000007,0.029,0.027,9.325
58,1.9400666666666664,0.061,0.098,9.068
59,1.9734333333333325,0.048,0.054,8.812
