frame_idx,timestamp_s,roll_deg,roll_rate_dps,speed_mps
0,0.0040333333333819,-0.061,-0.198,3.037
1,0.0374000000000478,0.015,0.075,3.081
2,0.0707666666667137,0.068,0.306,3.125
3,0.1041333333333796,0.056,0.11,3.162
4,0.1375000000000454,0.08,0.437,3.154
5,0.1708666666667113,0.106,0.428,3.147
6,0.2042333333333772,0.143,0.675,3.146
7,0.2376000000000431,0.103,0.341,3.197
8,0.270966666666709,0.081,0.338,3.247
9,0.3043333333333748,0.109,0.64,3.289
10,0.3377000000000407,0.094,0.268,3.273
11,0.3710666666667066,0.061,0.12,3.256
12,0.4044333333333725,0.061,0.225,3.237
13,0.4378000000000384,0.089,0.421,3.202
14,0.4711666666667042,0.037,0.085,3.167
15,0.5045333333333701,-0.011,0.16,3.141
16,0.537900000000036,0.023,0.419,3.167
17,0.5712666666667019,-0.016,0.013,3.193
18,0.6046333333333678,-0.014,-0.166,3.219
19,0.6380000000000337,-0.012,-0.535,3.251
20,0.6713666666666995,-0.037,-0.625,3.284
21,0.7047333333333654,-0.061,-0.48,3.299
22,0.7381000000000313,-0.027,-0.172,3.218
23,0.7714666666666972,-0.057,-0.661,3.137
24,0.804833333333363,-0.054,-0.496,3.068
25,0.8382000000000289,-0.045,-0.329,3.072
26,0.8715666666666948,0.002,0.183,3.076
27,0.9049333333333608,-0.042,-0.251,3.08
28,0.9383000000000266,-0.078,-0.307,3.08
29,0.9716666666666924,-0.071,-0.015,3.08
30,1.0050333333333583,-0.038,0.032,3.078
31,1.0384000000000242,-0.04,0.031,3.061
32,1.07176666666669,-0.074,-0.167,3.045
33,1.105133333333356,-0.016,0.295,3.054
34,1.1385000000000218,0.034,0.201,3.2
35,1.1718666666666877,-0.001,0.038,3.347
36,1.2052333333333536,-0.023,0.107,3.459
37,1.2386000000000197,-0.027,0.02,3.385
38,1.2719666666666851,-0.056,-0.312,3.31
39,1.3053333333333512,-0.078,-0.231,3.25
40,1.338700000000017,-0.083,-0.071,3.269
41,1.372066666666683,-0.025,0.289,3.289
42,1.4054333333333489,-0.009,0.092,3.3
43,1.4388000000000147,-0.023,-0.101,3.272
44,1.4721666666666806,-0.033,-0.05,3.243
45,1.5055333333333465,-0.054,-0.209,3.232
46,1.5389000000000124,-0.031,0.053,3.308
47,1.5722666666666782,-0.018,-0.008,3.385
48,1.605633333333344,-0.031,-0.24,3.436
49,1.63900000000001,-0.02,-0.093,3.357
50,1.672366666666676,-0.0,0.038,3.279
51,1.7057333333333418,0.033,0.22,3.226
52,1.7391000000000076,0.074,0.354,3.297
53,1.7724666666666735,0.1,0.355,3.368
54,1.8058333333333396,0.007,-0.453,3.418
55,1.8392000000000053,-0.075,-0.451,3.375
56,1.8725666666666712,-0.086,-0.128,3.332
57,1.905933333333337,-0.068,0.121,3.295
58,1.939300000000003,-0.016,0.203,3.29
59,1.9726666666666688,0.027,0.237,3.284
60,2.0060333333333347,0.106,0.151,3.289
61,2.0394000000000005,0.152,0.184,3.341
62,2.0727666666666664,0.14,0.102,3.394
63,2.1061333333333323,0.108,-0.235,3.424
64,2.139499999999998,0.104,-0.175,3.36
65,2.172866666666664,0.114,0.07,3.296
66,2.20623333333333,0.121,0.178,3.248
67,2.239599999999996,0.091,-0.336,3.269
68,2.2729666666666617,0.114,0.318,3.291
69,2.306333333333328,0.071,-0.053,3.308
70,2.339699999999993,0.021,-0.299,3.307
71,2.3730666666666598,0.031,0.356,3.306
72,2.406433333333325,-0.003,-0.173,3.32
73,2.439799999999991,-0.009,-0.116,3.399
74,2.473166666666657,0.057,0.37,3.478
75,2.506533333333323,0.039,-0.031,3.542
76,2.5398999999999887,0.017,0.061,3.544
77,2.5732666666666546,0.042,0.156,3.546
78,2.6066333333333205,-0.003,-0.419,3.54
79,2.6399999999999864,-0.007,0.014,3.503
80,2.673366666666652,0.007,0.073,3.466
81,2.706733333333318,0.01,-0.117,3.441
82,2.740099999999984,-0.005,-0.189,3.459
83,2.77346666666665,-0.038,-0.18,3.477
84,2.806833333333316,-0.018,0.179,3.49
85,2.8401999999999816,-0.019,-0.027,3.487
86,2.8735666666666475,-0.035,-0.206,3.484
87,2.9069333333333134,-0.041,-0.059,3.499
88,2.9402999999999797,-0.003,0.194,3.58
89,2.973666666666645,-0.008,-0.369,3.662
